DLiP-ID,C001AH
DLiP-Mol-ID,32081
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H17NO3/c1-7(2)12-6-11(15)8-3-4-9(13)10(14)5-8/h3-5,7,11-15H,6H2,1-2H3/t11-/m0/s1"
Standard Inchi Key(RDKit),JWZZKOKVBUJMES-NSHDSACASA-N
Canonical SMILES(RDKit),CC(C)NC[C@H](O)c1ccc(O)c(O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),211.261
MW Monoisotopic(RDKit),211.120843404
MolLogP(RDKit),1.1292
XLogP(SDF),
XLogP(CDK),1.16
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),72.72
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.563271928506751
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1870.1160148404683
qed,0.5632719285067509
Chi0,11.422285251880869
Chi1,7.002907755397974
TPSA,72.72
Chi0n,8.935498913634552
Chi0v,8.935498913634552
Chi1n,4.93729884558572
Chi1v,4.93729884558572
Chi2n,3.8268983275063753
Chi2v,3.8268983275063753
Chi3n,2.103692351696225
Chi3v,2.103692351696225
Chi4n,1.212914294235595
Chi4v,1.212914294235595
MolMR,57.870100000000036
MolWt,211.261
fr_SH,0
Kappa1,11.812780203784571
Kappa2,4.9999590646139
Kappa3,3.416335285841419
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,325.60911457507285
MolLogP,1.1291999999999998
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.652574355517288
SMR_VSA1,15.319582184522117
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,25.993281616277514
SMR_VSA6,6.544756405912575
SMR_VSA7,23.762552697081826
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,89.1886771316761
NHOHCount,4
PEOE_VSA1,20.63637078852845
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,19.913841467842857
PEOE_VSA7,17.696185628620217
PEOE_VSA8,12.586597235060536
PEOE_VSA9,6.103966387748303
RingCount,1
SMR_VSA10,0.0
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,2
ExactMolWt,211.120843404
NumHDonors,4
PEOE_VSA10,0.0
PEOE_VSA11,11.49902366656781
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,27.90617941958265
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,25.514892278826544
