DLiP-ID,C0015D
DLiP-Mol-ID,31850
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H18N4O3/c30-24(17-7-4-9-19(15-17)27-25(31)22-12-5-13-32-22)26-18-8-3-6-16(14-18)23-28-20-10-1-2-11-21(20)29-23/h1-15H,(H,26,30)(H,27,31)(H,28,29)"
Standard Inchi Key(RDKit),WFJMXMMPYVXLFE-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1cccc(-c2nc3ccccc3[nH]2)c1)c1cccc(NC(=O)c2ccco2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),422.444
MW Monoisotopic(RDKit),422.137890436
MolLogP(RDKit),5.3275
XLogP(SDF),
XLogP(CDK),3.912
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),100.02
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),5
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.356468972106001
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,41863144.75810246
qed,0.35646897210600126
Chi0,21.91563831562721
Chi1,15.652999680989847
TPSA,100.02
Chi0n,16.83221250473594
Chi0v,16.83221250473594
Chi1n,9.970714772134214
Chi1v,9.970714772134214
Chi2n,7.149718151483242
Chi2v,7.149718151483242
Chi3n,4.910848280223835
Chi3v,4.910848280223835
Chi4n,3.375671503084941
Chi4v,3.375671503084941
MolMR,122.5861
MolWt,422.44400000000013
fr_SH,0
Kappa1,19.321617458900263
Kappa2,8.233452116273163
Kappa3,3.9934362938209764
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1387.209642186838
MolLogP,5.327500000000003
NOCount,7
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.3273336039196109
SMR_VSA1,14.006225305196992
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,10.633577208012662
SMR_VSA7,102.51600086467307
SMR_VSA8,0.0
SMR_VSA9,11.387855989696924
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,182.6601407315587
NHOHCount,3
PEOE_VSA1,20.034706666013218
PEOE_VSA2,9.589074368143644
