DLiP-ID,C100PW
DLiP-Mol-ID,35937
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H9N5/c17-9-12-3-1-5-14(7-12)16-11-21(20-19-16)15-6-2-4-13(8-15)10-18/h1-8,11H"
Standard Inchi Key(RDKit),NGYBMZSHQLKMLG-UHFFFAOYSA-N
Canonical SMILES(RDKit),N#Cc1cccc(-c2cn(-c3cccc(C#N)c3)nn2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),271.283
MW Monoisotopic(RDKit),271.085795288
MolLogP(RDKit),2.67766
XLogP(SDF),
XLogP(CDK),2.925
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),78.29
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.717426156131102
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,121312.90689802032
qed,0.7174261561311017
Chi0,14.656489770562878
Chi1,10.296356295533846
TPSA,78.29
Chi0n,10.932220400206425
Chi0v,10.932220400206425
Chi1n,6.234035625433728
Chi1v,6.234035625433728
Chi2n,4.403091812400532
Chi2v,4.403091812400532
Chi3n,3.0206186411909397
Chi3v,3.0206186411909397
Chi4n,1.988305832205947
Chi4v,1.988305832205947
MolMR,76.22500000000002
MolWt,271.28299999999996
fr_SH,0
Kappa1,12.586572321126125
Kappa2,5.278628415427166
Kappa3,2.4884671681858537
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,5
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,807.9232609837889
MolLogP,2.6776600000000004
NOCount,5
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.998138548044072
SMR_VSA1,0.0
SMR_VSA2,10.523783109476973
SMR_VSA3,14.993869839101091
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,65.85468310269995
SMR_VSA8,0.0
SMR_VSA9,29.083208386813563
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,120.85597012966778
NHOHCount,0
PEOE_VSA1,0.0
PEOE_VSA2,0.0
PEOE_VSA3,4.681802935145185
PEOE_VSA4,10.523783109476973
PEOE_VSA5,5.098681808301038
PEOE_VSA6,23.4124863010397
PEOE_VSA7,30.33183534230805
PEOE_VSA8,5.563451491696996
PEOE_VSA9,35.149575455275176
RingCount,3
SMR_VSA10,0.0
fr_Al_COO,0
