DLiP-ID,T0008D
DLiP-Mol-ID,15610
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H25N3O3/c1-2-11-25-22(24)17-5-7-18(8-6-17)23(29)26-20-10-9-16-4-3-15(13-21(27)28)12-19(16)14-20/h2,5-10,14-15H,1,3-4,11-13H2,(H2,24,25)(H,26,29)(H,27,28)"
Standard Inchi Key(RDKit),ARJWFIGFOOVYAR-UHFFFAOYSA-N
Canonical SMILES(RDKit),C=CC/N=C(\N)c1ccc(C(=O)Nc2ccc3c(c2)CC(CC(=O)O)CC3)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),391.471
MW Monoisotopic(RDKit),391.18959166
MolLogP(RDKit),3.4098
XLogP(SDF),
XLogP(CDK),3.339
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),104.78
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.38204751948609
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,3168309.1698674504
qed,0.3820475194860898
Chi0,20.802754140504845
Chi1,13.956728795830722
TPSA,104.77999999999999
Chi0n,16.22706715094319
Chi0v,16.22706715094319
Chi1n,9.621667487433113
Chi1v,9.621667487433113
Chi2n,7.236254918516457
Chi2v,7.236254918516457
Chi3n,5.09152811450095
Chi3v,5.09152811450095
Chi4n,3.581274179377613
Chi4v,3.581274179377613
MolMR,114.39340000000004
MolWt,391.47100000000023
fr_SH,0
Kappa1,20.327498720783453
Kappa2,9.18892810048643
Kappa3,5.314925636008076
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,948.3404626380421
MolLogP,3.4098000000000024
NOCount,6
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.6797668820996108
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,16.643978255959247
SMR_VSA5,25.683286491704038
SMR_VSA6,11.861545009918906
SMR_VSA7,77.37333123645165
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,1
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,169.70977971697462
NHOHCount,4
PEOE_VSA1,16.156983476009223
PEOE_VSA2,14.581479100779312
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,6.578935683598497
PEOE_VSA6,24.27512131221871
PEOE_VSA7,60.57274217217985
