DLiP-ID,P000IE
DLiP-Mol-ID,26313
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H6FNOS/c10-7-4-2-1-3-6(7)8-5-13-9(12)11-8/h1-5H,(H,11,12)"
Standard Inchi Key(RDKit),WPBUAOKGWQBCMU-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1[nH]c(-c2ccccc2F)cs1
SMILES(SDF),
MW(SDF),
MW(RDKit),195.218
MW Monoisotopic(RDKit),195.015413032
MolLogP(RDKit),2.2425
XLogP(SDF),
XLogP(CDK),2.311
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),32.86
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),13
QED Weighted(RDKit),0.743289326392286
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,1502.4221282807823
qed,0.7432893263922857
Chi0,9.259148545064338
Chi1,6.270856947829096
TPSA,32.86
Chi0n,6.581212399885083
Chi0v,7.3977089808128085
Chi1n,3.6989581911484315
Chi1v,4.578611002403326
Chi2n,2.5416811516112006
Chi2v,3.3838764843008304
Chi3n,1.6845739680664393
Chi3v,2.3542656063383745
Chi4n,1.0917819817790264
Chi4v,1.6714458779556076
MolMR,50.333700000000015
MolWt,195.21799999999996
fr_SH,0
Kappa1,8.190654608597187
Kappa2,3.141802958942123
Kappa3,1.5276095622218335
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,474.2169827464828
MolLogP,2.2424999999999997
NOCount,2
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.5849092984454667
SMR_VSA1,4.39041504767482
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,45.13025166648638
SMR_VSA8,0.0
SMR_VSA9,11.257379486545457
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
