DLiP-ID,I0014D
DLiP-Mol-ID,29394
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H22N4/c1-2-4-22-21(3-1)18(16-26-22)7-13-25-19-5-6-23-17(15-19)10-14-27(23)20-8-11-24-12-9-20/h1-6,8-9,11-12,15-16,25-26H,7,10,13-14H2"
Standard Inchi Key(RDKit),SOSNAFIWRFXNHE-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc2c(CCNc3ccc4c(c3)CCN4c3ccncc3)c[nH]c2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),354.457
MW Monoisotopic(RDKit),354.184446704
MolLogP(RDKit),4.9117
XLogP(SDF),
XLogP(CDK),4.133
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),43.95
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.535008533748724
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,4452025.16158161
qed,0.5350085337487244
Chi0,18.05383099606141
Chi1,13.382142733160752
TPSA,43.95
Chi0n,15.15105754602162
Chi0v,15.15105754602162
Chi1n,9.47725065873907
Chi1v,9.47725065873907
Chi2n,6.986815988353232
Chi2v,6.986815988353232
Chi3n,5.347819059549716
Chi3v,5.347819059549716
Chi4n,3.9838703845755408
Chi4v,3.9838703845755408
MolMR,111.88140000000003
MolWt,354.457
fr_SH,0
Kappa1,15.943984757714032
Kappa2,6.79957484034094
Kappa3,3.0350962825664496
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1068.1433226668632
MolLogP,4.911700000000003
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.2732074944799334
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,12.841643245852019
SMR_VSA6,23.30621114668196
SMR_VSA7,84.31473731438771
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
