DLiP-ID,T007LC
DLiP-Mol-ID,25739
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H14N4O/c1-9-14-7-12(8-16-15(14)19-18-9)11-4-3-5-13(6-11)17-10(2)20/h3-8H,1-2H3,(H,17,20)(H,16,18,19)"
Standard Inchi Key(RDKit),YFBPGSDPFRCNOY-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(=O)Nc1cccc(-c2cnc3[nH]nc(C)c3c2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),266.304
MW Monoisotopic(RDKit),266.116761068
MolLogP(RDKit),2.89172
XLogP(SDF),
XLogP(CDK),2.999
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),70.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.748849384802436
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,p53/MDM2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,52978.32409456734
qed,0.748849384802436
Chi0,14.11251969619286
Chi1,9.631030293135234
TPSA,70.67
Chi0n,11.266777096601535
Chi0v,11.266777096601535
Chi1n,6.320536037059388
Chi1v,6.320536037059388
Chi2n,4.691167995757259
Chi2v,4.691167995757259
Chi3n,3.123264882187964
Chi3v,3.123264882187964
Chi4n,2.1643282145379605
Chi4v,2.1643282145379605
MolMR,78.36540000000002
MolWt,266.304
fr_SH,0
Kappa1,12.349246012281293
Kappa2,4.770068368061583
Kappa3,2.252184473520479
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,791.4227792424292
