DLiP-ID,J100HC
DLiP-Mol-ID,37326
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H15N9S.ClH/c1-8-6-9(20-10(14-8)12-7-13-20)21-11-15-16-17-19(11)5-4-18(2)3;/h6-7H,4-5H2,1-3H3;1H"
Standard Inchi Key(RDKit),ZENFHQHLYWELPP-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(Sc2nnnn2CC[NH+](C)C)n2ncnc2n1.[Cl-]
SMILES(SDF),
MW(SDF),
MW(RDKit),341.832
MW Monoisotopic(RDKit),341.093790192
MolLogP(RDKit),-4.28108
XLogP(SDF),
XLogP(CDK),0.685
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),9
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),91.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.469643874323089
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,94225.82558843079
qed,0.46964387432308874
Chi0,14.819626477379408
Chi1,10.131030293135236
TPSA,91.12
Chi0n,12.432835628225103
Chi0v,14.005261155171285
Chi1n,6.537025080007778
Chi1v,7.353521660935504
Chi2n,4.951373477637314
Chi2v,5.938922440769927
Chi3n,2.8657305073635047
Chi3v,3.8406295585810297
Chi4n,1.8025870169700897
Chi4v,2.7449018868260575
MolMR,75.13670000000002
MolWt,341.832
fr_SH,0
Kappa1,16.58811963177377
Kappa2,6.986524857859043
Kappa3,3.5123637655339803
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,8
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,752.9435219100101
MolLogP,-4.281079999999997
NOCount,9
fr_Ar_N,8
fr_COO2,0
fr_urea,0
BalabanJ,1.7633320535120774e-06
SMR_VSA1,17.306942892030456
SMR_VSA2,0.0
SMR_VSA3,39.78929167856704
SMR_VSA4,0.0
SMR_VSA5,23.65089006609315
SMR_VSA6,20.640100371266954
SMR_VSA7,18.08761513807461
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,1
LabuteASA,137.07823930778204
NHOHCount,1
PEOE_VSA1,17.306942892030456
PEOE_VSA2,0.0
PEOE_VSA3,9.665781456092393
PEOE_VSA4,14.59805822286387
PEOE_VSA5,5.098681808301038
PEOE_VSA6,0.0
PEOE_VSA7,35.17875940885308
