DLiP-ID,J000DY
DLiP-Mol-ID,27251
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H21N3O/c25-21(13-16-6-2-1-3-7-16)22-14-17-8-4-9-18(12-17)19-15-24-11-5-10-20(24)23-19/h1-4,6-9,12,15H,5,10-11,13-14H2,(H,22,25)"
Standard Inchi Key(RDKit),GKIAAVNOBCFHHP-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Cc1ccccc1)NCc1cccc(-c2cn3c(n2)CCC3)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),331.419
MW Monoisotopic(RDKit),331.168462292
MolLogP(RDKit),3.3552
XLogP(SDF),
XLogP(CDK),3.671
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),46.92
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.779172357355415
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
Common Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
RDKit Descriptors
Ipc,1092221.8700536347
qed,0.7791723573554151
Chi0,17.062267164498692
Chi1,12.275989583278102
TPSA,46.92
Chi0n,14.11171207929278
Chi0v,14.11171207929278
Chi1n,8.737864089375927
Chi1v,8.737864089375927
Chi2n,6.478801452377724
Chi2v,6.478801452377724
Chi3n,4.5785018373201245
Chi3v,4.5785018373201245
Chi4n,3.278987310893967
Chi4v,3.278987310893967
MolMR,97.97670000000005
MolWt,331.4190000000001
fr_SH,0
Kappa1,15.63628869325328
Kappa2,6.931717456841758
Kappa3,3.6298701753937284
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,861.6666369523763
MolLogP,3.3552000000000026
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.4015695241756825
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,14.867866772744893
SMR_VSA4,0.0
SMR_VSA5,32.35197768060318
SMR_VSA6,0.0
SMR_VSA7,77.74545466916149
SMR_VSA8,0.0
SMR_VSA9,11.257379486545457
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,147.07957723668335
NHOHCount,1
PEOE_VSA1,9.883888251797686
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,48.53093654769288
PEOE_VSA7,23.614091674781612
PEOE_VSA8,31.270629498061233
PEOE_VSA9,12.114749617774471
RingCount,4
SMR_VSA10,5.907179729351506
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,331.168462292
NumHDonors,1
PEOE_VSA10,5.824404497999927
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,15.458257898090068
SlogP_VSA3,30.725693241748992
SlogP_VSA4,0.0
SlogP_VSA5,23.372129104319928
SlogP_VSA6,60.79414718776757
SlogP_VSA7,0.0
SlogP_VSA8,11.257379486545457
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.907179729351506
EState_VSA3,12.965578028838586
EState_VSA4,35.349860498778035
EState_VSA5,12.245226120925937
EState_VSA6,0.0
EState_VSA7,42.46456947923127
EState_VSA8,28.21346596033398
EState_VSA9,4.9839785209472085
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
