DLiP-ID,T003N4
DLiP-Mol-ID,20522
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H29N3O3/c24-18(25)2-1-11-22-19(26)16-3-7-20(8-4-16)9-14-23(15-10-20)17-5-12-21-13-6-17/h5-6,12-13,16H,1-4,7-11,14-15H2,(H,22,26)(H,24,25)"
Standard Inchi Key(RDKit),LUILGBSAWABNTA-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CCCNC(=O)C1CCC2(CC1)CCN(c1ccncc1)CC2
SMILES(SDF),
MW(SDF),
MW(RDKit),359.47
MW Monoisotopic(RDKit),359.220891788
MolLogP(RDKit),2.8394
XLogP(SDF),
XLogP(CDK),2.551
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),82.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.763365914116014
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,880253.9017372769
qed,0.7633659141160142
Chi0,18.407566626119436
Chi1,12.578917360319544
TPSA,82.53
Chi0n,15.323063306427757
Chi0v,15.323063306427757
Chi1n,9.724824192430294
Chi1v,9.724824192430294
Chi2n,7.755053737986592
Chi2v,7.755053737986592
Chi3n,6.135674246542152
Chi3v,6.135674246542152
Chi4n,4.382025165817044
Chi4v,4.382025165817044
MolMR,99.95450000000007
MolWt,359.4700000000001
fr_SH,0
Kappa1,18.674270021979975
Kappa2,8.515112676337353
Kappa3,4.740492138874061
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,601.9872381476655
MolLogP,2.8394000000000004
NOCount,6
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.409118737639764
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,11.332896515558172
SMR_VSA5,51.36657298340809
SMR_VSA6,24.534178948588202
SMR_VSA7,24.52642128014937
