DLiP-ID,C001FY
DLiP-Mol-ID,32313
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C8H5NO4S/c10-9(11)7-2-1-6-3-4-14(12,13)8(6)5-7/h1-5H"
Standard Inchi Key(RDKit),ZRRGOUHITGRLBA-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=[N+]([O-])c1ccc2c(c1)S(=O)(=O)C=C2
SMILES(SDF),
MW(SDF),
MW(RDKit),211.198
MW Monoisotopic(RDKit),210.99392864
MolLogP(RDKit),1.3528
XLogP(SDF),
XLogP(CDK),1.468
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),77.28
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.518557479295563
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1692.956698849442
qed,0.5185574792955625
Chi0,10.344934982691242
Chi1,6.50483718255332
TPSA,77.28
Chi0n,6.875206393767403
Chi0v,7.691702974695129
Chi1n,3.7219572480216025
Chi1v,5.2682767259431635
Chi2n,2.826997511995124
Chi2v,4.629007981275035
Chi3n,1.9412436455450208
Chi3v,3.4022354354186803
Chi4n,1.2568892595098844
Chi4v,2.478887408844753
MolMR,49.316200000000016
MolWt,211.19799999999998
fr_SH,0
Kappa1,8.88847288351911
Kappa2,2.6473602037012123
Kappa3,1.1981594763246242
fr_ArN,0
fr_COO,0
fr_C_O,0
