DLiP-ID,T002PR
DLiP-Mol-ID,19093
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H22N2O6/c25-20-9-7-17(24(20)12-14-4-2-1-3-5-14)21(26)23-16(22(27)28)10-15-6-8-18-19(11-15)30-13-29-18/h1-6,8,11,16-17H,7,9-10,12-13H2,(H,23,26)(H,27,28)/t16-,17-/m0/s1"
Standard Inchi Key(RDKit),IZMLGGSGIBWUDC-IRXDYDNUSA-N
Canonical SMILES(RDKit),O=C(O)[C@H](Cc1ccc2c(c1)OCO2)NC(=O)[C@@H]1CCC(=O)N1Cc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),410.426
MW Monoisotopic(RDKit),410.147786424
MolLogP(RDKit),1.7184
XLogP(SDF),
XLogP(CDK),1.657
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),105.17
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.720195153907869
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,9531163.005588172
qed,0.7201951539078687
Chi0,21.087211190881014
Chi1,14.508040390846979
TPSA,105.17
Chi0n,16.244705241148232
Chi0v,16.244705241148232
Chi1n,9.761510877340774
Chi1v,9.761510877340774
Chi2n,7.352861081304401
Chi2v,7.352861081304401
Chi3n,5.317993231034071
Chi3v,5.317993231034071
Chi4n,3.75618618308393
Chi4v,3.75618618308393
MolMR,105.84950000000002
MolWt,410.4260000000002
fr_SH,0
Kappa1,19.752890283378633
Kappa2,8.442870431644792
