DLiP-ID,T000DC
DLiP-Mol-ID,15818
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H24N4O3/c1-11(18(24)25)5-3-2-4-8-21-17(23)15-10-13-9-12(16(19)20)6-7-14(13)22-15/h6-7,9-11,22H,2-5,8H2,1H3,(H3,19,20)(H,21,23)(H,24,25)"
Standard Inchi Key(RDKit),BACUWNDSUBHCOF-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(CCCCCNC(=O)c1cc2cc(C(=N)N)ccc2[nH]1)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),344.415
MW Monoisotopic(RDKit),344.184840628
MolLogP(RDKit),2.46287
XLogP(SDF),
XLogP(CDK),2.679
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),132.06
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.271400508185206
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,383329.11287310964
qed,0.2714005081852059
Chi0,18.396976746569035
Chi1,11.87991785310972
TPSA,132.05999999999997
