DLiP-ID,C000MS
DLiP-Mol-ID,31064
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C4H6N2O2/c5-2-3-1-4(7)6-8-3/h1H,2,5H2,(H,6,7)"
Standard Inchi Key(RDKit),ZJQHPWUVQPJPQT-UHFFFAOYSA-N
Canonical SMILES(RDKit),NCc1cc(O)no1
SMILES(SDF),
MW(SDF),
MW(RDKit),114.104
MW Monoisotopic(RDKit),114.042927432
MolLogP(RDKit),-0.1611
XLogP(SDF),
XLogP(CDK),-0.205
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),72.28
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),8
QED Weighted(RDKit),0.531660773949229
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,92.21698662121833
qed,0.531660773949229
Chi0,5.983127663125442
Chi1,3.825698502695489
TPSA,72.28
Chi0n,4.164482801029577
Chi0v,4.164482801029577
Chi1n,2.1730638768137074
Chi1v,2.1730638768137074
Chi2n,1.3555476308386505
Chi2v,1.3555476308386505
Chi3n,0.7476988994004031
Chi3v,0.7476988994004031
Chi4n,0.3982816163914105
Chi4v,0.3982816163914105
MolMR,26.059199999999997
MolWt,114.10399999999998
fr_SH,0
Kappa1,5.113472022955523
Kappa2,1.8327457560131686
Kappa3,0.7880378648483061
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,172.3011683847082
MolLogP,-0.16110000000000008
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.837541430565328
SMR_VSA1,9.629622331814055
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,5.733667477162185
SMR_VSA5,6.544756405912575
SMR_VSA6,0.0
SMR_VSA7,11.826614487336052
