DLiP-ID,T000ON
DLiP-Mol-ID,16310
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H28N2O4/c1-33-23-9-3-2-8-21(23)20-13-11-19(12-14-20)18-22(25(30)31)29-26(32)27(15-5-6-16-27)24-10-4-7-17-28-24/h2-4,7-14,17,22H,5-6,15-16,18H2,1H3,(H,29,32)(H,30,31)/t22-/m0/s1"
Standard Inchi Key(RDKit),BZAIRWJDGMWPRS-QFIPXVFZSA-N
Canonical SMILES(RDKit),COc1ccccc1-c1ccc(C[C@H](NC(=O)C2(c3ccccn3)CCCC2)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),444.531
MW Monoisotopic(RDKit),444.204907376
MolLogP(RDKit),4.3811
XLogP(SDF),
XLogP(CDK),2.84
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),88.52
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.538276103430323
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,44060400.34465563
qed,0.5382761034303233
Chi0,23.260937777247953
Chi1,16.030842415161818
TPSA,88.52
Chi0n,18.66025946778938
Chi0v,18.66025946778938
Chi1n,11.209684551670444
Chi1v,11.209684551670444
Chi2n,8.469807834220093
Chi2v,8.469807834220093
Chi3n,6.462114732860144
Chi3v,6.462114732860144
Chi4n,4.659600866751537
Chi4v,4.659600866751537
MolMR,126.08350000000006
MolWt,444.53100000000023
fr_SH,0
Kappa1,22.52131799742621
Kappa2,9.858282007719747
Kappa3,4.745928487808264
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1106.479978784451
MolLogP,4.381100000000003
NOCount,6
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.512765925958659
SMR_VSA1,19.432464716784395
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,0.0
SMR_VSA5,43.56093941317479
SMR_VSA6,7.109797541277533
SMR_VSA7,84.18426081123626
SMR_VSA8,0.0
SMR_VSA9,16.876414816677897
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,193.18951486840683
NHOHCount,2
PEOE_VSA1,15.160178952647085
PEOE_VSA2,9.77851570501903
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,61.3725797935449
PEOE_VSA7,42.16764743463084
PEOE_VSA8,18.18111668623608
PEOE_VSA9,18.218716005522776
RingCount,4
SMR_VSA10,11.876485017303356
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
