DLiP-ID,P000GI
DLiP-Mol-ID,25932
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H11N3O/c1-7-11(8(2)16-15-7)10-5-9-3-4-13-12(9)14-6-10/h3-6H,1-2H3,(H,13,14)"
Standard Inchi Key(RDKit),UKELRNSNPZHDOM-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1noc(C)c1-c1cnc2[nH]ccc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),213.24
MW Monoisotopic(RDKit),213.090211972
MolLogP(RDKit),2.83474
XLogP(SDF),
XLogP(CDK),2.648
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),54.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.675804850047618
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,9244.478496353324
qed,0.6758048500476185
Chi0,11.120955864630139
Chi1,7.7540201954234895
TPSA,54.71
Chi0n,9.112076558222284
Chi0v,9.112076558222284
Chi1n,5.1188198226215045
Chi1v,5.1188198226215045
Chi2n,3.838668358256167
Chi2v,3.838668358256167
Chi3n,2.7221647173797616
Chi3v,2.7221647173797616
Chi4n,1.9716548960126552
Chi4v,1.9716548960126552
MolMR,61.06470000000002
MolWt,213.24
fr_SH,0
Kappa1,9.149555001779994
Kappa2,3.19806901139686
Kappa3,1.2302703596383606
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,631.6349886775231
MolLogP,2.834740000000001
NOCount,4
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,2.254162699993396
SMR_VSA1,4.523094936973348
SMR_VSA2,0.0
SMR_VSA3,15.124620299019863
SMR_VSA4,0.0
SMR_VSA5,13.847474399381248
SMR_VSA6,0.0
SMR_VSA7,35.98059669387228
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,92.29418803884289
NHOHCount,1
PEOE_VSA1,9.507073457920557
