DLiP-ID,T004YA
DLiP-Mol-ID,21660
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H21N5O3S/c19-18(20)22-8-6-16(24)23-13-4-1-5-14(9-13)27-15(10-17(25)26)12-3-2-7-21-11-12/h1-5,7,9,11,15H,6,8,10H2,(H,23,24)(H,25,26)(H4,19,20,22)"
Standard Inchi Key(RDKit),POFWLRJEVCMUNG-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)NCCC(=O)Nc1cccc(SC(CC(=O)O)c2cccnc2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),387.465
MW Monoisotopic(RDKit),387.136510532
MolLogP(RDKit),2.20137
XLogP(SDF),
XLogP(CDK),1.058
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),141.19
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.252198041883466
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,862492.5451024827
qed,0.25219804188346556
Chi0,19.64805360212559
Chi1,12.935560745775547
TPSA,141.19
Chi0n,14.51399509784741
Chi0v,15.330491678775136
Chi1n,8.199722145671133
Chi1v,9.07937495692603
Chi2n,5.65717424280523
Chi2v,6.933316617720628
Chi3n,3.479862397598632
Chi3v,4.729311808767252
Chi4n,2.298200801886612
Chi4v,3.480295383847067
MolMR,104.69330000000001
MolWt,387.4650000000001
fr_SH,0
Kappa1,20.244462524752414
Kappa2,10.169459162516926
Kappa3,7.365189004101626
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,800.5939213590359
MolLogP,2.20137
NOCount,8
fr_Ar_N,1
