DLiP-ID,C001KB
DLiP-Mol-ID,32499
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H12ClNO2/c16-14-7-2-1-4-11(14)8-9-15(19)17-12-5-3-6-13(18)10-12/h1-10,18H,(H,17,19)/b9-8+"
Standard Inchi Key(RDKit),UVPDKBTVSFHGAI-CMDGGOBGSA-N
Canonical SMILES(RDKit),O=C(/C=C/c1ccccc1Cl)Nc1cccc(O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),273.719
MW Monoisotopic(RDKit),273.055656304
MolLogP(RDKit),3.6975
XLogP(SDF),
XLogP(CDK),3.481
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),49.33
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.837988712711962
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,21182.32598338166
qed,0.8379887127119621
Chi0,13.664925939000156
Chi1,9.147867045540842
TPSA,49.33
Chi0n,10.006929050869308
Chi0v,10.762857996887762
Chi1n,5.676114256245028
Chi1v,6.054078729254255
Chi2n,3.8944253962026596
Chi2v,4.301625522943266
Chi3n,2.4331807016503695
Chi3v,2.7773867495561047
Chi4n,1.5433204533269675
Chi4v,1.7420479077420408
MolMR,77.22250000000003
MolWt,273.719
fr_SH,0
Kappa1,13.1782480753563
Kappa2,6.067897916845581
Kappa3,3.8615821650104576
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,623.0475686853205
MolLogP,3.6975000000000016
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.039419162041936
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
