DLiP-ID,C001FL
DLiP-Mol-ID,32300
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H9N3O3S2/c1-7-12-13-11(19-7)18-6-10(15)8-2-4-9(5-3-8)14(16)17/h2-5H,6H2,1H3"
Standard Inchi Key(RDKit),MMPWPHHRHSCHID-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1nnc(SCC(=O)c2ccc([N+](=O)[O-])cc2)s1
SMILES(SDF),
MW(SDF),
MW(RDKit),295.345
MW Monoisotopic(RDKit),295.008533148
MolLogP(RDKit),2.72972
XLogP(SDF),
XLogP(CDK),2.895
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),85.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.364681925002626
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,24653.113894145605
qed,0.36468192500262575
Chi0,13.828062645816686
Chi1,9.0585506480638
TPSA,85.99
Chi0n,9.899390096764241
Chi0v,11.532383258619694
Chi1n,5.26606107608178
Chi1v,7.068156216662994
Chi2n,3.6028229069156374
Chi2v,6.006934835972891
Chi3n,2.2343272366719256
Chi3v,4.206338105807747
Chi4n,1.3164058168170523
Chi4v,3.026496701407251
MolMR,72.79690000000002
MolWt,295.345
fr_SH,0
Kappa1,13.62748460330878
Kappa2,5.893877551020408
Kappa3,3.5816060699092143
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,609.9029008027704
MolLogP,2.7297200000000013
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.975675601716754
SMR_VSA1,9.717848232889493
SMR_VSA2,0.0
SMR_VSA3,10.197363616602075
SMR_VSA4,0.0
SMR_VSA5,11.263392880364169
SMR_VSA6,5.752853606746789
SMR_VSA7,44.95086173116177
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,116.56904431736888
NHOHCount,0
PEOE_VSA1,0.0
PEOE_VSA2,14.908855452837393
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,10.197363616602075
PEOE_VSA6,23.098670827325854
PEOE_VSA7,19.056471336613843
PEOE_VSA8,17.696185628620217
PEOE_VSA9,10.67616465556446
RingCount,2
SMR_VSA10,34.569302048374354
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,295.008533148
NumHDonors,0
PEOE_VSA10,5.007623696852765
PEOE_VSA11,10.122900627038485
PEOE_VSA12,0.0
PEOE_VSA13,5.687386274683562
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,26.656773218531473
SlogP_VSA3,0.0
SlogP_VSA4,17.038055468456196
SlogP_VSA5,15.365612372621584
SlogP_VSA6,28.605123954519986
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,1
fr_sulfone,0
EState_VSA1,4.923311048817671
EState_VSA2,17.22348482779529
EState_VSA3,5.563451491696996
EState_VSA4,9.347279377526311
EState_VSA5,47.36413910117229
EState_VSA6,0.0
