DLiP-ID,C001QZ
DLiP-Mol-ID,32795
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H19NO2/c1-2-3-4-7-10-16-12-9-6-5-8-11(12)13(14)15/h5-6,8-9H,2-4,7,10H2,1H3,(H2,14,15)"
Standard Inchi Key(RDKit),CKSJXOVLXUMMFF-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCCCCOc1ccccc1C(N)=O
SMILES(SDF),
MW(SDF),
MW(RDKit),221.3
MW Monoisotopic(RDKit),221.141578848
MolLogP(RDKit),2.7446
XLogP(SDF),
XLogP(CDK),3.312
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),52.32
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.719634365992366
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,4132.852712366917
qed,0.7196343659923656
Chi0,11.803118619434356
Chi1,7.753218857624055
TPSA,52.32
Chi0n,9.738781832808595
Chi0v,9.738781832808595
Chi1n,5.7700556100296625
Chi1v,5.7700556100296625
Chi2n,3.7695320719193166
Chi2v,3.7695320719193166
Chi3n,2.4079751668514433
Chi3v,2.4079751668514433
Chi4n,1.5070313031730211
Chi4v,1.5070313031730211
MolMR,64.59690000000003
MolWt,221.29999999999998
fr_SH,0
Kappa1,12.559013112491373
Kappa2,6.879505266588669
Kappa3,3.927521570712279
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,336.4594083146761
MolLogP,2.7446
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.4374570613369144
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,5.733667477162185
SMR_VSA5,32.60702369139466
SMR_VSA6,6.606881964512918
SMR_VSA7,29.828919765543436
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
