DLiP-ID,C000EO
DLiP-Mol-ID,30715
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H26N4O/c1-4-24(5-2)20(25)22-14-10-16-15-7-6-8-17-19(15)13(11-21-17)9-18(16)23(3)12-14/h6-8,10-11,14,18,21H,4-5,9,12H2,1-3H3,(H,22,25)/t14-,18-/m0/s1"
Standard Inchi Key(RDKit),BKRGVLQUQGGVSM-KSSFIOAISA-N
Canonical SMILES(RDKit),CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),338.455
MW Monoisotopic(RDKit),338.210661452
MolLogP(RDKit),2.8414
XLogP(SDF),
XLogP(CDK),2.552
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),51.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.904089000234545
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,788088.392413312
qed,0.9040890002345446
Chi0,17.551677284948283
Chi1,12.117723500579766
TPSA,51.370000000000005
Chi0n,15.172554490537353
Chi0v,15.172554490537353
Chi1n,9.18681620233733
Chi1v,9.18681620233733
Chi2n,7.051825951008875
Chi2v,7.051825951008875
Chi3n,5.627747886502613
Chi3v,5.627747886502613
Chi4n,4.303984925816222
Chi4v,4.303984925816222
MolMR,101.63840000000005
MolWt,338.45500000000015
fr_SH,0
Kappa1,16.212101569272463
Kappa2,6.225343740043835
Kappa3,2.6283810640728196
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,833.3337745446975
MolLogP,2.841400000000001
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,1
BalabanJ,1.6891166923164271
SMR_VSA1,4.794537184071822
