DLiP-ID,T004YU
DLiP-Mol-ID,21681
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H29NO4/c1-15-3-5-16(6-4-15)12-23(2)19(24)13-27-20(25)21-8-17-7-18(9-21)11-22(26,10-17)14-21/h3-6,17-18,26H,7-14H2,1-2H3"
Standard Inchi Key(RDKit),PPPUPFCXAZKVHC-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(CN(C)C(=O)COC(=O)C23CC4CC(CC(O)(C4)C2)C3)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),371.477
MW Monoisotopic(RDKit),371.209658408
MolLogP(RDKit),2.82792
XLogP(SDF),
XLogP(CDK),2.695
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),66.84
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.80850123930046
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Rac1/GEFs
Common Target Pref Name,RAC1/TIAM1
RDKit Descriptors
Ipc,1119072.692338964
qed,0.8085012393004604
Chi0,19.233840039752497
Chi1,12.768205954740372
TPSA,66.84
Chi0n,16.240127927021643
Chi0v,16.240127927021643
Chi1n,9.960986599882649
Chi1v,9.960986599882649
Chi2n,9.277230124924499
Chi2v,9.277230124924499
Chi3n,6.756064032909538
Chi3v,6.756064032909538
Chi4n,5.899102407830373
Chi4v,5.899102407830373
MolMR,100.67680000000004
MolWt,371.47700000000015
fr_SH,0
Kappa1,18.481772043811425
Kappa2,6.623414819387331
Kappa3,3.617188581314879
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,727.1846019974766
MolLogP,2.8279200000000015
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
