DLiP-ID,P000HY
DLiP-Mol-ID,26177
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H29N6O2/c1-2-17-14-23-27-19(22-13-16-6-5-9-25(29)15-16)12-20(24-21(17)27)26-10-4-3-7-18(26)8-11-28/h5-6,9,12,14-15,18,22,28-29H,2-4,7-8,10-11,13H2,1H3/q+1/t18-/m0/s1"
Standard Inchi Key(RDKit),WBUFFOKXERTKGU-SFHVURJKSA-N
Canonical SMILES(RDKit),CCc1cnn2c(NCc3ccc[n+](O)c3)cc(N3CCCC[C@H]3CCO)nc12
SMILES(SDF),
MW(SDF),
MW(RDKit),397.503
MW Monoisotopic(RDKit),397.23465058809
MolLogP(RDKit),2.1699
XLogP(SDF),
XLogP(CDK),4.188
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),89.8
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.418221593524411
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,6351258.517915498
qed,0.4182215935244113
Chi0,20.21696770287794
Chi1,14.1902031456512
TPSA,89.8
Chi0n,16.828801302319473
