DLiP-ID,T005RY
DLiP-Mol-ID,22928
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H31N3O5/c1-3-4-5-13-33-19-10-8-17(9-11-19)14-21(25(31)32)27-24(30)20-15-22(29)28(2)23(20)18-7-6-12-26-16-18/h6-12,16,20-21,23H,3-5,13-15H2,1-2H3,(H,27,30)(H,31,32)/t20?,21-,23?/m0/s1"
Standard Inchi Key(RDKit),SAWNEBBEUABBIH-QKDPSFTKSA-N
Canonical SMILES(RDKit),CCCCCOc1ccc(C[C@H](NC(=O)C2CC(=O)N(C)C2c2cccnc2)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),453.539
MW Monoisotopic(RDKit),453.226371092
MolLogP(RDKit),2.9821
XLogP(SDF),
XLogP(CDK),0.254000000000001
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),108.83
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.506523182343359
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,24850634.28897631
qed,0.5065231823433594
Chi0,23.79431797206756
Chi1,15.901085903164901
TPSA,108.83
Chi0n,19.068127596560497
Chi0v,19.068127596560497
Chi1n,11.308323731679561
Chi1v,11.308323731679561
Chi2n,8.349511854396317
Chi2v,8.349511854396317
Chi3n,5.94340098481801
Chi3v,5.94340098481801
Chi4n,4.090099441861453
Chi4v,4.090099441861453
MolMR,122.58750000000005
MolWt,453.5390000000001
fr_SH,0
Kappa1,24.22692903734536
Kappa2,11.446594454428679
Kappa3,6.307340711094418
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,948.2745619951683
MolLogP,2.982100000000001
NOCount,8
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.6475306631382869
SMR_VSA1,24.227001900856216
SMR_VSA2,0.0
SMR_VSA3,15.200676855804016
SMR_VSA4,5.917906046161393
SMR_VSA5,51.11152697261659
SMR_VSA6,13.654553947190108
SMR_VSA7,59.918792537389805
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,193.51354489017635
NHOHCount,2
PEOE_VSA1,20.06008868349756
PEOE_VSA2,14.573052889090853
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,37.964481650927475
PEOE_VSA7,35.74682581170483
PEOE_VSA8,32.28300237175536
PEOE_VSA9,18.566628839822272
RingCount,3
SMR_VSA10,17.78366474665486
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,453.226371092
NumHDonors,2
PEOE_VSA10,11.791352662431866
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.05365155780638
SlogP_VSA2,52.47047516963132
SlogP_VSA3,20.804433175141472
SlogP_VSA4,5.917906046161393
SlogP_VSA5,49.775767503936606
SlogP_VSA6,48.791889553995816
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
