DLiP-ID,T0031P
DLiP-Mol-ID,19609
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H18N2O3S/c20-23(21,19-10-4-1-5-11-19)18-13-8-9-15-14-6-2-3-7-16(14)22-17(15)12-13/h2-3,6-9,12,18H,1,4-5,10-11H2"
Standard Inchi Key(RDKit),JXHZMFDEWDIXIH-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=S(=O)(Nc1ccc2c(c1)oc1ccccc12)N1CCCCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),330.409
MW Monoisotopic(RDKit),330.103813436
MolLogP(RDKit),3.7286
XLogP(SDF),
XLogP(CDK),3.092
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),62.55
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.795738178945565
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,315945.4577340456
qed,0.7957381789455648
Chi0,15.863596551749426
Chi1,11.132959720290582
TPSA,62.550000000000004
Chi0n,12.657192547615532
Chi0v,13.473689128543258
Chi1n,7.826119627800072
Chi1v,9.266182956600709
Chi2n,5.8759679639342
Chi2v,7.546622568316769
Chi3n,4.2805346501451735
Chi3v,5.819174952897939
Chi4n,3.1081218793465175
Chi4v,4.400963088713959
MolMR,91.68650000000004
MolWt,330.4090000000002
fr_SH,0
Kappa1,14.536464494140105
Kappa2,5.543238174639865
Kappa3,2.682664817135326
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
