DLiP-ID,C001OI
DLiP-Mol-ID,32678
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)"
Standard Inchi Key(RDKit),YGPSJZOEDVAXAB-UHFFFAOYSA-N
Canonical SMILES(RDKit),Nc1ccccc1C(=O)CC(N)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),208.217
MW Monoisotopic(RDKit),208.084792244
MolLogP(RDKit),0.2535
XLogP(SDF),
XLogP(CDK),-2.116
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),106.41
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.485504663849282
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1927.089848771705
qed,0.4855046638492824
Chi0,11.422285251880869
Chi1,7.019744507803581
TPSA,106.41000000000001
Chi0n,8.012268841941614
Chi0v,8.012268841941614
Chi1n,4.381690640983565
Chi1v,4.381690640983565
Chi2n,3.1592816693742978
Chi2v,3.1592816693742978
Chi3n,1.9837035173489972
Chi3v,1.9837035173489972
Chi4n,1.1479449666521486
Chi4v,1.1479449666521486
MolMR,55.41310000000001
MolWt,208.21699999999998
fr_SH,0
Kappa1,11.196219512195123
Kappa2,4.564527286814907
Kappa3,2.7827604166666675
fr_ArN,1
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,2
fr_N_O,0
fr_azo,0
BertzCT,390.0088201517133
MolLogP,0.2535000000000001
NOCount,5
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.781701916869178
