DLiP-ID,T004RK
DLiP-Mol-ID,21055
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H31N3O4/c1-31-16-13-28(14-17-31,22-6-5-15-29-19-22)27(34)30-24(26(32)33)18-20-9-11-21(12-10-20)23-7-3-4-8-25(23)35-2/h3-12,15,19,24H,13-14,16-18H2,1-2H3,(H,30,34)(H,32,33)/t24-/m0/s1"
Standard Inchi Key(RDKit),OXXLQTUSOSKCPA-DEOSSOPVSA-N
Canonical SMILES(RDKit),COc1ccccc1-c1ccc(C[C@H](NC(=O)C2(c3cccnc3)CCN(C)CC2)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),473.573
MW Monoisotopic(RDKit),473.231456472
MolLogP(RDKit),3.5327
XLogP(SDF),
XLogP(CDK),1.466
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),91.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.520129791854569
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,83920120.87709938
qed,0.5201297918545688
Chi0,24.83828804643758
Chi1,16.92468926527917
TPSA,91.76
Chi0n,20.107473063289337
Chi0v,20.107473063289337
Chi1n,11.77928757246274
Chi1v,11.77928757246274
Chi2n,9.092699477302771
Chi2v,9.092699477302771
Chi3n,6.904531479054587
Chi3v,6.904531479054587
Chi4n,4.728600956398124
Chi4v,4.728600956398124
MolMR,134.3465
MolWt,473.57300000000026
fr_SH,0
Kappa1,24.41569772464648
Kappa2,10.695975030048311
Kappa3,5.353824264084885
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1156.3346178018007
MolLogP,3.532700000000002
NOCount,7
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.5275068394495295
SMR_VSA1,19.432464716784395
SMR_VSA2,0.0
SMR_VSA3,15.200676855804018
SMR_VSA4,0.0
SMR_VSA5,30.71929616732277
SMR_VSA6,27.246982335779876
SMR_VSA7,84.18426081123626
SMR_VSA8,0.0
SMR_VSA9,16.876414816677897
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,205.31429065300682
NHOHCount,2
PEOE_VSA1,20.06008868349756
PEOE_VSA2,9.77851570501903
PEOE_VSA3,4.794537184071822
