DLiP-ID,I000SS
DLiP-Mol-ID,28895
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H22N4O/c30-24-7-3-5-21-23(13-15-27-25(21)24)29-19-10-8-18(9-11-19)26-14-12-17-16-28-22-6-2-1-4-20(17)22/h1-11,13,15-16,26,28,30H,12,14H2,(H,27,29)"
Standard Inchi Key(RDKit),NBMGATCQMUQWKK-UHFFFAOYSA-N
Canonical SMILES(RDKit),Oc1cccc2c(Nc3ccc(NCCc4c[nH]c5ccccc45)cc3)ccnc12
SMILES(SDF),
MW(SDF),
MW(RDKit),394.478
MW Monoisotopic(RDKit),394.179361324
MolLogP(RDKit),5.8199
XLogP(SDF),
XLogP(CDK),4.553
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),72.97
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),5
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.292769815852474
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,15512060.979685668
qed,0.2927698158524744
Chi0,20.338288046437583
Chi1,14.775989583278104
TPSA,72.97
Chi0n,16.39154452202778
Chi0v,16.39154452202778
Chi1n,10.004612413643276
Chi1v,10.004612413643276
Chi2n,7.270442499978785
Chi2v,7.270442499978785
Chi3n,5.312022282578803
Chi3v,5.312022282578803
Chi4n,3.776338879032113
Chi4v,3.776338879032113
MolMR,123.6249
MolWt,394.47800000000007
fr_SH,0
Kappa1,18.064907611047346
Kappa2,7.79397712345923
