DLiP-ID,I000W3
DLiP-Mol-ID,29039
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H29N3O5/c1-16-15-26(24(30)18-8-6-5-7-9-18)12-13-27(16)23(29)17(2)32-20-11-10-19(22(28)25-3)14-21(20)31-4/h5-11,14,16-17H,12-13,15H2,1-4H3,(H,25,28)/t16-,17-/m1/s1"
Standard Inchi Key(RDKit),OQRSXFNMNAQFEB-IAGOWNOFSA-N
Canonical SMILES(RDKit),CNC(=O)c1ccc(O[C@H](C)C(=O)N2CCN(C(=O)c3ccccc3)C[C@H]2C)c(OC)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),439.512
MW Monoisotopic(RDKit),439.210721028
MolLogP(RDKit),2.1952
XLogP(SDF),
XLogP(CDK),2.438
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),88.18
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.745606728430283
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,13650868.824435404
qed,0.7456067284302828
Chi0,23.250347897697548
Chi1,15.349774308148643
TPSA,88.18
Chi0n,18.830491678775136
Chi0v,18.830491678775136
Chi1n,10.569008497990142
Chi1v,10.569008497990142
Chi2n,7.7026890490109405
Chi2v,7.7026890490109405
Chi3n,5.522910052200342
Chi3v,5.522910052200342
Chi4n,3.75769745975124
Chi4v,3.75769745975124
MolMR,119.99470000000004
MolWt,439.51200000000017
fr_SH,0
Kappa1,23.12024193744085
Kappa2,10.17218242202656
Kappa3,5.014552917871942
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,978.8549055954629
MolLogP,2.195199999999999
NOCount,8
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.6396948709492243
SMR_VSA1,23.85733745981556
SMR_VSA2,0.0
SMR_VSA3,15.116608065707286
SMR_VSA4,0.0
SMR_VSA5,25.99328161627751
SMR_VSA6,33.79173874169245
SMR_VSA7,59.65783953108687
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
