DLiP-ID,T006ZB
DLiP-Mol-ID,24803
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H31N5O7S/c1-12-8-13(2)18(14(3)9-12)34(31,32)26-17(20(28)29)11-24-19(27)16-10-15(33-25-16)6-4-5-7-23-21(22)30/h8-9,15,17,26H,4-7,10-11H2,1-3H3,(H,24,27)(H,28,29)(H3,22,23,30)/t15?,17-/m0/s1"
Standard Inchi Key(RDKit),WIHMEUNVCQPVOZ-LWKPJOBUSA-N
Canonical SMILES(RDKit),Cc1cc(C)c(S(=O)(=O)N[C@@H](CNC(=O)C2=NOC(CCCCNC(N)=O)C2)C(=O)O)c(C)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),497.574
MW Monoisotopic(RDKit),497.194419332
MolLogP(RDKit),0.443060000000002
XLogP(SDF),
XLogP(CDK),0.59
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),12
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),189.28
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,2
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),12
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.25885707669292
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,17080090.489282712
qed,0.2588570766929198
Chi0,25.465890847321376
Chi1,15.901591788068648
TPSA,189.28
Chi0n,19.381557257314373
Chi0v,20.1980538382421
Chi1n,10.77557508655862
Chi1v,12.258738334153012
Chi2n,8.20631036865487
Chi2v,9.857134494900798
Chi3n,5.182843167136359
Chi3v,6.9590702133530575
Chi4n,3.738900916366205
Chi4v,5.381079065474995
MolMR,123.77010000000006
MolWt,497.5740000000004
fr_SH,0
Kappa1,27.057540187973604
Kappa2,11.79038289278995
Kappa3,7.695188308916671
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1048.2657206421804
MolLogP,0.4430600000000033
NOCount,12
fr_Ar_N,0
fr_COO2,1
fr_urea,1
BalabanJ,1.8964642888928063
SMR_VSA1,32.74552451512174
SMR_VSA2,0.0
SMR_VSA3,15.355672072464749
SMR_VSA4,10.889380203912726
SMR_VSA5,63.49578878318995
SMR_VSA6,13.08951281182515
SMR_VSA7,28.823088612014207
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,1
fr_quatN,0
LabuteASA,197.89166308934108
NHOHCount,6
PEOE_VSA1,26.31136066375219
PEOE_VSA2,9.589074368143644
PEOE_VSA3,13.212334168400758
PEOE_VSA4,4.722094864452088
PEOE_VSA5,0.0
PEOE_VSA6,22.851898355370757
PEOE_VSA7,51.16057945124389
PEOE_VSA8,19.510334434751158
PEOE_VSA9,4.895483475517775
RingCount,2
SMR_VSA10,33.64257568581971
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,497.194419332
NumHDonors,5
PEOE_VSA10,17.857492219666966
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,5.907179729351506
PEOE_VSA14,12.000419800289922
SlogP_VSA1,21.089339549626935
SlogP_VSA2,62.378928940303176
SlogP_VSA3,24.44995410528786
SlogP_VSA4,20.771211599071872
SlogP_VSA5,42.37364096679502
SlogP_VSA6,22.183930339191534
SlogP_VSA7,0.0
