DLiP-ID,C001CO
DLiP-Mol-ID,32167
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C3H2ClF5O/c4-1(3(7,8)9)10-2(5)6/h1-2H"
Standard Inchi Key(RDKit),PIWKPBJCKXDKJR-UHFFFAOYSA-N
Canonical SMILES(RDKit),FC(F)OC(Cl)C(F)(F)F
SMILES(SDF),
MW(SDF),
MW(RDKit),184.491
MW Monoisotopic(RDKit),183.971433464
MolLogP(RDKit),2.3528
XLogP(SDF),
XLogP(CDK),2.603
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),1
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),9.23
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),0
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),10
QED Weighted(RDKit),0.472871295267937
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,76.90359109819562
qed,0.47287129526793736
Chi0,8.361807319565798
Chi1,4.337222523091416
TPSA,9.23
Chi0n,4.330735666898478
Chi0v,5.086664612916931
Chi1n,1.9816800356076627
Chi1v,2.418115816079647
Chi2n,1.254395240240068
Chi2v,1.6507872917510102
Chi3n,0.47969326748862984
Chi3v,0.8299979971160546
Chi4n,0.16746691453639692
Chi4v,0.24522849367237087
MolMR,22.785
MolWt,184.49099999999996
fr_SH,0
Kappa1,9.900000000000002
Kappa2,3.337834264767743
Kappa3,3.8375573921028465
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,101.55641063961481
MolLogP,2.3528000000000002
NOCount,1
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,3.7348237213155926
SMR_VSA1,26.68893819217415
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,18.350951813682208
SMR_VSA6,0.0
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,57.71362372764249
NHOHCount,0
