DLiP-ID,C001MC
DLiP-Mol-ID,32589
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H13F3O2/c1-22-14-9-6-13(7-10-14)16(21)11-8-12-4-2-3-5-15(12)17(18,19)20/h2-11H,1H3/b11-8+"
Standard Inchi Key(RDKit),IUJWAWAODSXWTI-DHZHZOJOSA-N
Canonical SMILES(RDKit),COc1ccc(C(=O)/C=C/c2ccccc2C(F)(F)F)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),306.283
MW Monoisotopic(RDKit),306.086764316
MolLogP(RDKit),4.6101
XLogP(SDF),
XLogP(CDK),4.688
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),26.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.608839900008133
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,77323.9996004913
qed,0.6088399000081332
Chi0,16.164925939000156
Chi1,10.414033465812421
TPSA,26.3
Chi0n,11.723892691851667
Chi0v,11.723892691851667
Chi1n,6.442844367200071
Chi1v,6.442844367200071
Chi2n,4.511095161358736
Chi2v,4.511095161358736
Chi3n,3.054993334875346
Chi3v,3.054993334875346
Chi4n,1.9174744460300335
Chi4v,1.9174744460300335
MolMR,77.80250000000002
MolWt,306.283
fr_SH,0
Kappa1,15.821815326994
Kappa2,6.471102315689983
Kappa3,3.752862740701865
fr_ArN,0
fr_COO,0
