DLiP-ID,I0005H
DLiP-Mol-ID,27898
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H20N2O5S/c1-12-19(13(2)26-20-12)14-5-10-17(25-4)18(11-14)27(22,23)21-15-6-8-16(24-3)9-7-15/h5-11,21H,1-4H3"
Standard Inchi Key(RDKit),CBDNQLWEBDFRNQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(NS(=O)(=O)c2cc(-c3c(C)noc3C)ccc2OC)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),388.445
MW Monoisotopic(RDKit),388.10929274
MolLogP(RDKit),3.77644
XLogP(SDF),
XLogP(CDK),3.542
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),90.66
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.691085192258515
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Bromodomain_Histone
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,1230592.8151045733
qed,0.6910851922585154
Chi0,19.604083527755577
Chi1,12.851703735303989
TPSA,90.66
Chi0n,15.43815522261052
Chi0v,16.254651803538245
Chi1n,8.136032700764256
Chi1v,9.61919594835865
Chi2n,5.8988093881858354
Chi2v,7.549633514431768
Chi3n,4.117421672767892
Chi3v,5.519918225385153
Chi4n,2.806528263380604
Chi4v,4.061219778461496
MolMR,101.76750000000003
MolWt,388.4450000000001
fr_SH,0
Kappa1,18.781065088757398
Kappa2,7.3188691650230115
Kappa3,3.7511094674556213
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1036.7041067392472
MolLogP,3.7764400000000027
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.0342165430703383
SMR_VSA1,22.414617828902383
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,0.0
