DLiP-ID,C000MK
DLiP-Mol-ID,31055
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H18FNO2/c1-20-15-9-11-7-8-19-17(13(11)10-16(15)21-2)12-5-3-4-6-14(12)18/h3-6,9-10,17,19H,7-8H2,1-2H3"
Standard Inchi Key(RDKit),OSOHYOOOJHCIHK-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc2c(cc1OC)C(c1ccccc1F)NCC2
SMILES(SDF),
MW(SDF),
MW(RDKit),287.334
MW Monoisotopic(RDKit),287.132157036
MolLogP(RDKit),3.078
XLogP(SDF),
XLogP(CDK),2.678
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),30.49
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.940787687040021
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,85382.17588839482
qed,0.9407876870400214
Chi0,14.819626477379408
Chi1,10.24071340286802
TPSA,30.490000000000002
Chi0n,12.15012650063743
Chi0v,12.15012650063743
Chi1n,6.968910100436068
Chi1v,6.968910100436068
Chi2n,5.064654966214815
Chi2v,5.064654966214815
Chi3n,3.9154203692126903
Chi3v,3.9154203692126903
Chi4n,2.869867430333746
Chi4v,2.869867430333746
MolMR,79.49570000000003
MolWt,287.33400000000006
fr_SH,0
Kappa1,13.892254679614824
Kappa2,5.73694613302517
Kappa3,2.4688236224832876
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,657.2335221305327
MolLogP,3.078000000000001
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.1124452838604886
SMR_VSA1,13.864140955274918
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,12.462662452073971
SMR_VSA6,20.764351488467643
SMR_VSA7,58.90577772690654
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,123.24986478956286
NHOHCount,1
PEOE_VSA1,14.790514511606428
PEOE_VSA2,0.0
