DLiP-ID,C000UC
DLiP-Mol-ID,31387
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H16N2O6S2/c25-16(26)11-23-14-9-5-4-8-13(14)17(19(23)27)18-20(28)24(22(31)32-18)15(21(29)30)10-12-6-2-1-3-7-12/h1-9,15H,10-11H2,(H,25,26)(H,29,30)/b18-17-"
Standard Inchi Key(RDKit),QGLHZICYIJSLGU-ZCXUNETKSA-N
Canonical SMILES(RDKit),O=C(O)CN1C(=O)/C(=C2\SC(=S)N(C(Cc3ccccc3)C(=O)O)C2=O)c2ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),468.512
MW Monoisotopic(RDKit),468.044978232
MolLogP(RDKit),2.3851
XLogP(SDF),
XLogP(CDK),1.608
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),115.22
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.490607267324023
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,17382913.417391386
qed,0.4906072673240234
Chi0,22.990834873703708
Chi1,15.290601455632682
TPSA,115.22
Chi0n,16.426060379052366
Chi0v,18.05905354090782
Chi1n,9.487000536845201
Chi1v,10.711745408236792
Chi2n,7.093191952827732
Chi2v,8.737379426860302
Chi3n,5.111358078474505
Chi3v,6.512239917953038
Chi4n,3.717231428780762
Chi4v,5.145490449568232
MolMR,121.95560000000003
MolWt,468.51200000000017
fr_SH,0
Kappa1,21.721466364323508
Kappa2,8.559279778393352
Kappa3,3.781975308641975
fr_ArN,0
fr_COO,2
fr_C_O,4
fr_C_S,1
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1193.9170245859623
MolLogP,2.3851000000000004
NOCount,8
fr_Ar_N,0
fr_COO2,2
fr_urea,0
BalabanJ,1.7509080323505795
SMR_VSA1,29.3912035259687
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,12.462662452073971
SMR_VSA6,11.444666136763054
SMR_VSA7,70.62934311343854
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
