DLiP-ID,C001KY
DLiP-Mol-ID,32522
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H16N4O2/c25-15-9-5-13(6-10-15)21-19-20(22-14-7-11-16(26)12-8-14)24-18-4-2-1-3-17(18)23-19/h1-12,25-26H,(H,21,23)(H,22,24)"
Standard Inchi Key(RDKit),NUFBJECQMAPTMN-UHFFFAOYSA-N
Canonical SMILES(RDKit),Oc1ccc(Nc2nc3ccccc3nc2Nc2ccc(O)cc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),344.374
MW Monoisotopic(RDKit),344.127325752
MolLogP(RDKit),4.5282
XLogP(SDF),
XLogP(CDK),4.03
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),90.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.406772175207146
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1218643.668476117
qed,0.4067721752071456
Chi0,17.93251065250177
Chi1,12.669836433395457
TPSA,90.3
Chi0n,13.717057612275346
Chi0v,13.717057612275346
Chi1n,8.061725465781338
Chi1v,8.061725465781338
Chi2n,5.753282776818926
Chi2v,5.753282776818926
Chi3n,3.8306328406440353
Chi3v,3.8306328406440353
Chi4n,2.5373203061074836
Chi4v,2.5373203061074836
MolMR,102.317
MolWt,344.3740000000001
fr_SH,0
Kappa1,15.711715797430083
Kappa2,6.60117823021275
Kappa3,3.3424877908646935
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,961.5514685004177
MolLogP,4.528200000000003
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.7477381231924118
SMR_VSA1,10.213054789681411
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,10.633577208012662
SMR_VSA7,72.79640482153933
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
