DLiP-ID,T006AJ
DLiP-Mol-ID,23738
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H29N3O6S/c27-22(18-6-8-19(9-7-18)32-15-12-17-10-13-24-14-11-17)25-16-21(23(28)29)26-33(30,31)20-4-2-1-3-5-20/h1-9,17,21,24,26H,10-16H2,(H,25,27)(H,28,29)/t21-/m1/s1"
Standard Inchi Key(RDKit),UIJBJQDAZCEJGM-OAQYLSRUSA-N
Canonical SMILES(RDKit),O=C(NC[C@@H](NS(=O)(=O)c1ccccc1)C(=O)O)c1ccc(OCCC2CCNCC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),475.567
MW Monoisotopic(RDKit),475.177706648
MolLogP(RDKit),1.6166
XLogP(SDF),
XLogP(CDK),2.198
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),133.83
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.387972456009139
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,22348387.756512634
qed,0.38797245600913915
Chi0,23.68358750805832
Chi1,15.848173775453851
TPSA,133.83
Chi0n,18.197303767674857
Chi0v,19.01380034860258
Chi1n,10.86929040223156
Chi1v,12.352453649825952
Chi2n,7.89007887407536
Chi2v,9.60405923064846
Chi3n,5.485813196261307
Chi3v,6.973400179884541
Chi4n,3.547543934272706
Chi4v,4.757783713954896
MolMR,122.66820000000004
MolWt,475.56700000000035
fr_SH,0
Kappa1,24.687702887210655
Kappa2,11.779315180742142
Kappa3,7.552833295283645
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1021.9220743760383
MolLogP,1.6166
NOCount,9
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.4892985733504915
