DLiP-ID,T004ED
DLiP-Mol-ID,17968
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H8Cl2O2/c14-11-6-5-10(7-12(11)15)8-1-3-9(4-2-8)13(16)17/h1-7H,(H,16,17)"
Standard Inchi Key(RDKit),NVYOOVLWXDVFAA-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)c1ccc(-c2ccc(Cl)c(Cl)c2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),267.111
MW Monoisotopic(RDKit),265.990134856
MolLogP(RDKit),4.3586
XLogP(SDF),
XLogP(CDK),4.821
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),37.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.877247868947543
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,E1/E2
Common Target Pref Name,E1/E2
RDKit Descriptors
Ipc,7594.533593706891
qed,0.8772478689475433
Chi0,12.41384908344359
Chi1,8.075387400469408
TPSA,37.3
Chi0n,8.652842716309657
Chi0v,10.164700608346566
Chi1n,4.865096492749641
Chi1v,5.621025438768096
Chi2n,3.5113907968257476
Chi2v,4.32579105030696
Chi3n,2.3847851489195846
Chi3v,3.123814427657602
Chi4n,1.4809475330294994
Chi4v,1.7790387146521096
MolMR,68.85730000000002
MolWt,267.111
fr_SH,0
Kappa1,11.960432307137278
Kappa2,4.778881385899926
Kappa3,2.5992240520175636
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,562.1321875173596
MolLogP,4.358600000000002
NOCount,2
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.393859244826412
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
