DLiP-ID,C001OU
DLiP-Mol-ID,32690
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H21N3O5S/c1-14-8-9-15(2)20(12-14)23-22(26)18-6-4-5-7-19(18)24-31(29,30)21-13-17(25(27)28)11-10-16(21)3/h4-13,24H,1-3H3,(H,23,26)"
Standard Inchi Key(RDKit),MENIIXYXSODVSN-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(C)c(NC(=O)c2ccccc2NS(=O)(=O)c2cc([N+](=O)[O-])ccc2C)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),439.493
MW Monoisotopic(RDKit),439.120191772
MolLogP(RDKit),4.57316
XLogP(SDF),
XLogP(CDK),4.896
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),118.41
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.430646634526441
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,5529106.246161674
qed,0.4306466345264413
Chi0,22.75878406613483
Chi1,14.580224583022732
TPSA,118.41000000000003
Chi0n,17.170206030179397
