DLiP-ID,T007LU
DLiP-Mol-ID,25762
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H27N5O5S/c1-2-31-20(29)14-4-3-9-26(12-14)15-5-7-16(8-6-15)27-13-17(32-22(27)30)10-24-19(28)18-11-25-21(23)33-18/h5-8,11,14,17H,2-4,9-10,12-13H2,1H3,(H2,23,25)(H,24,28)"
Standard Inchi Key(RDKit),YGKMGDKPJYTHKT-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOC(=O)C1CCCN(c2ccc(N3CC(CNC(=O)c4cnc(N)s4)OC3=O)cc2)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),473.555
MW Monoisotopic(RDKit),473.173289964
MolLogP(RDKit),2.26
XLogP(SDF),
XLogP(CDK),1.002
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),9
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),127.09
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.586487935018556
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,39177035.237866625
qed,0.5864879350185558
Chi0,23.37166824125719
Chi1,15.939892043425118
TPSA,127.09
Chi0n,18.359680151105895
Chi0v,19.17617673203362
Chi1n,10.935601732877073
Chi1v,11.7520983138048
Chi2n,7.942760426958803
Chi2v,9.004987424048752
Chi3n,5.679582896014728
Chi3v,6.5048482385709265
Chi4n,4.032457088057387
Chi4v,4.633457206329723
MolMR,124.48660000000004
MolWt,473.55500000000023
fr_SH,0
Kappa1,22.839740119676502
Kappa2,10.071428379303713
Kappa3,5.35783623985509
fr_ArN,1
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1010.8604079173972
MolLogP,2.26
NOCount,10
fr_Ar_N,1
