DLiP-ID,P0009U
DLiP-Mol-ID,24430
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H13NO2/c1-9(16)15-12-7-3-2-5-10(12)11-6-4-8-13(17)14(11)15/h2-3,5,7H,4,6,8H2,1H3"
Standard Inchi Key(RDKit),MIGJEXKBUJPKJF-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(=O)n1c2c(c3ccccc31)CCCC2=O
SMILES(SDF),
MW(SDF),
MW(RDKit),227.263
MW Monoisotopic(RDKit),227.094628656
MolLogP(RDKit),2.8204
XLogP(SDF),
XLogP(CDK),1.698
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),39.07
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.693805277520636
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CREBBP/H4
Common Target Pref Name,CREBBP/H4
RDKit Descriptors
Ipc,12535.605672640315
qed,0.6938052775206358
Chi0,11.991199352633217
Chi1,8.198377302757663
TPSA,39.07
Chi0n,9.694431596745831
Chi0v,9.694431596745831
Chi1n,5.863525734089974
Chi1v,5.863525734089974
Chi2n,4.475467205104816
Chi2v,4.475467205104816
Chi3n,3.3891553987448813
Chi3v,3.3891553987448813
Chi4n,2.724046887730108
Chi4v,2.724046887730108
MolMR,65.50700000000003
MolWt,227.26299999999995
fr_SH,0
Kappa1,10.266512773160972
Kappa2,3.5520632404104453
Kappa3,1.3503188754652309
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,636.9547828308476
MolLogP,2.820400000000001
NOCount,3
