DLiP-ID,J000DK
DLiP-Mol-ID,27237
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H18N2O/c1-11(2)18-13-7-5-12(6-8-13)14-10-17-9-3-4-15(17)16-14/h5-8,10-11H,3-4,9H2,1-2H3"
Standard Inchi Key(RDKit),CUBMKZQQTMBJBK-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)Oc1ccc(-c2cn3c(n2)CCC3)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),242.322
MW Monoisotopic(RDKit),242.141913196
MolLogP(RDKit),3.2835
XLogP(SDF),
XLogP(CDK),3.542
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),27.05
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.825503054177995
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
Common Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
RDKit Descriptors
Ipc,23134.829685870995
qed,0.8255030541779947
Chi0,12.535169427003234
Chi1,8.720346690612274
TPSA,27.05
Chi0n,10.888097440161179
Chi0v,10.888097440161179
Chi1n,6.553369723254641
Chi1v,6.553369723254641
Chi2n,5.030302038040437
Chi2v,5.030302038040437
Chi3n,3.1804337564270617
