DLiP-ID,T004AA
DLiP-Mol-ID,17085
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H26N4O3/c31-25(32)16-24(20-4-1-11-27-17-20)30-13-9-19-15-22(7-8-23(19)30)33-14-10-21-6-5-18-3-2-12-28-26(18)29-21/h1,4-9,11,13,15,17,24H,2-3,10,12,14,16H2,(H,28,29)(H,31,32)"
Standard Inchi Key(RDKit),NNOYJUNBGWLDGM-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC(c1cccnc1)n1ccc2cc(OCCc3ccc4c(n3)NCCC4)ccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),442.519
MW Monoisotopic(RDKit),442.200490692
MolLogP(RDKit),4.475
XLogP(SDF),
XLogP(CDK),3.778
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),89.27
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.41839606922858
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,59796684.18895378
qed,0.4183960692285796
Chi0,22.622745096813752
Chi1,16.169836433395453
TPSA,89.27
Chi0n,18.276194880322358
Chi0v,18.276194880322358
Chi1n,11.25002604049899
Chi1v,11.25002604049899
Chi2n,8.282760265397581
Chi2v,8.282760265397581
Chi3n,6.043547991747349
Chi3v,6.043547991747349
Chi4n,4.40049516396837
Chi4v,4.40049516396837
MolMR,126.81350000000008
MolWt,442.5190000000003
fr_SH,0
Kappa1,21.000859875788645
Kappa2,9.32125609699713
Kappa3,4.670098834891871
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1269.2734382781234
MolLogP,4.475000000000004
NOCount,7
fr_Ar_N,3
fr_COO2,1
fr_urea,0
BalabanJ,1.298256538211485
SMR_VSA1,14.637927532712578
SMR_VSA2,0.0
SMR_VSA3,14.53505668968577
