DLiP-ID,T005L1
DLiP-Mol-ID,22627
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H17N3O2S/c1-13-17-11-18(19(25)21-15-7-5-6-14(10-15)12-24)26-20(17)23(22-13)16-8-3-2-4-9-16/h2-11,24H,12H2,1H3,(H,21,25)"
Standard Inchi Key(RDKit),RLFZBUBFYHXOLN-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1nn(-c2ccccc2)c2sc(C(=O)Nc3cccc(CO)c3)cc12
SMILES(SDF),
MW(SDF),
MW(RDKit),363.442
MW Monoisotopic(RDKit),363.104147784
MolLogP(RDKit),4.14002
XLogP(SDF),
XLogP(CDK),2.832
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),67.15
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.572560053028261
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Rac1/GEFs
Common Target Pref Name,RAC1/TIAM1
RDKit Descriptors
Ipc,1543148.6210301055
qed,0.572560053028261
Chi0,18.095647359318303
Chi1,12.652198343190413
TPSA,67.15
Chi0n,14.138746840510409
Chi0v,14.955243421438135
Chi1n,8.212375062314347
Chi1v,9.028871643242073
Chi2n,5.97485664045752
Chi2v,7.005505522383886
Chi3n,4.1366102935924
Chi3v,5.245969151910697
Chi4n,2.843444595018936
Chi4v,3.9215450506042533
MolMR,104.00200000000002
MolWt,363.44200000000006
fr_SH,0
Kappa1,16.50531036972541
Kappa2,6.742516914510266
Kappa3,3.003544972461661
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1083.0908179847108
MolLogP,4.140020000000002
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.6783824481552931
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,9.780484743446223
SMR_VSA4,0.0
SMR_VSA5,13.530619164203543
SMR_VSA6,5.316788604006331
SMR_VSA7,76.79819736486287
SMR_VSA8,0.0
SMR_VSA9,5.687386274683562
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,154.07529716977024
NHOHCount,2
PEOE_VSA1,10.423315998847038
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.681802935145185
PEOE_VSA4,5.098681808301038
PEOE_VSA5,11.336785877934737
PEOE_VSA6,30.33183534230805
PEOE_VSA7,42.81902403369567
PEOE_VSA8,11.073610489148358
PEOE_VSA9,22.865343427746243
RingCount,4
SMR_VSA10,33.14797251605516
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,363.10414778399996
NumHDonors,2
PEOE_VSA10,4.830396419620566
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,20.794191867638432
SlogP_VSA3,6.606881964512918
SlogP_VSA4,6.923737199690624
SlogP_VSA5,20.929063864318575
SlogP_VSA6,60.6636706846161
SlogP_VSA7,0.0
SlogP_VSA8,15.904006908768924
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
