DLiP-ID,I001AR
DLiP-Mol-ID,29681
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H21N3O4/c1-29-16-7-8-17-18(14-23-19(17)13-16)20(26)22(28)25-11-9-24(10-12-25)21(27)15-5-3-2-4-6-15/h2-8,13-14,23H,9-12H2,1H3"
Standard Inchi Key(RDKit),WGHIBPXNZYOGFD-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),391.427
MW Monoisotopic(RDKit),391.153206152
MolLogP(RDKit),2.3438
XLogP(SDF),
XLogP(CDK),2.747
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),82.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.546694118787952
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,6489586.424500701
qed,0.546694118787952
Chi0,20.380104409694468
Chi1,14.07971869811898
TPSA,82.71000000000001
Chi0n,16.051999900308193
Chi0v,16.051999900308193
Chi1n,9.412937274384069
Chi1v,9.412937274384069
Chi2n,6.893415507670991
Chi2v,6.893415507670991
Chi3n,5.202619182567761
Chi3v,5.202619182567761
Chi4n,3.5548934828128904
Chi4v,3.5548934828128904
MolMR,108.10670000000003
MolWt,391.4270000000001
fr_SH,0
Kappa1,18.73939287866469
Kappa2,7.788994391617553
Kappa3,3.586270443637152
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1066.1107208463675
MolLogP,2.3438
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.4313646521308154
SMR_VSA1,19.120474506015512
SMR_VSA2,0.0
SMR_VSA3,14.783797982648164
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,33.288823164927834
SMR_VSA7,65.85468310269995
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,167.41080690999905
NHOHCount,1
PEOE_VSA1,19.520660936448213
PEOE_VSA2,14.383611552215466
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
