DLiP-ID,J0000R
DLiP-Mol-ID,26712
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H28F3N3O2/c1-3-9-24-10-7-17(8-11-24)25(12-13-27-2)18(26)23-16-6-4-5-15(14-16)19(20,21)22/h4-6,14,17H,3,7-13H2,1-2H3,(H,23,26)"
Standard Inchi Key(RDKit),WMXSUWSORZZXFA-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCN1CCC(N(CCOC)C(=O)Nc2cccc(C(F)(F)F)c2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),387.446
MW Monoisotopic(RDKit),387.213361796
MolLogP(RDKit),4.0601
XLogP(SDF),
XLogP(CDK),2.97
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),44.81
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.767446768877008
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,797337.88966037
qed,0.7674467688770079
Chi0,19.86359655174942
Chi1,12.845885118390559
TPSA,44.81
Chi0n,15.888422786395836
Chi0v,15.888422786395836
Chi1n,9.309681598529131
Chi1v,9.309681598529131
Chi2n,6.767724379582896
Chi2v,6.767724379582896
Chi3n,4.776052555773549
Chi3v,4.776052555773549
Chi4n,3.378975638887138
Chi4v,3.378975638887138
MolMR,98.79770000000005
MolWt,387.4460000000001
fr_SH,0
Kappa1,21.499516345201325
Kappa2,9.939721009737184
Kappa3,6.390779320987653
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,602.1078260525189
MolLogP,4.060100000000003
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,2.0442910189736883
SMR_VSA1,22.702645280896327
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,0.0
SMR_VSA5,38.40434141506009
SMR_VSA6,45.21249373344708
SMR_VSA7,29.828919765543436
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,158.01102251546777
NHOHCount,1
PEOE_VSA1,19.853471019507335
PEOE_VSA2,0.0
PEOE_VSA3,4.794537184071822
PEOE_VSA4,13.171245143024459
PEOE_VSA5,0.0
PEOE_VSA6,12.990104268152233
PEOE_VSA7,44.00632248007544
PEOE_VSA8,38.47329386284678
PEOE_VSA9,12.170333456209914
RingCount,2
SMR_VSA10,11.718500787021634
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,387.21336179599996
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,12.207413029781547
SlogP_VSA1,5.316788604006331
SlogP_VSA2,61.76847993262774
SlogP_VSA3,10.913161471243523
SlogP_VSA4,0.0
SlogP_VSA5,31.749653560165648
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,3
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,11.73975000914047
EState_VSA2,17.760341616169594
EState_VSA3,13.151638370425493
EState_VSA4,51.029468223438975
EState_VSA5,12.13273413692322
EState_VSA6,12.009707272128011
EState_VSA7,0.0
EState_VSA8,17.140435534547432
EState_VSA9,4.736862953800049
SlogP_VSA10,23.653168601779846
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
