DLiP-ID,I000RV
DLiP-Mol-ID,28858
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H18Cl2N2O/c1-14-20(17-9-18(23)11-19(24)10-17)21(27)26-8-2-7-22(14,26)12-15-3-5-16(13-25)6-4-15/h3-6,9-11H,2,7-8,12H2,1H3/t22-/m1/s1"
Standard Inchi Key(RDKit),MTEXZSBIZOFGHW-JOCHJYFZSA-N
Canonical SMILES(RDKit),CC1=C(c2cc(Cl)cc(Cl)c2)C(=O)N2CCC[C@@]12Cc1ccc(C#N)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),397.305
MW Monoisotopic(RDKit),396.079618556
MolLogP(RDKit),5.25608
XLogP(SDF),
XLogP(CDK),4.759
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),44.1
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.70963394630899
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,LFA_ICAM
Common Target Pref Name,LFA/ICAM
RDKit Descriptors
Ipc,1756609.783376157
qed,0.7096339463089896
Chi0,19.181433796945203
Chi1,12.941526017684778
TPSA,44.1
Chi0n,14.928483436555808
Chi0v,16.440341328592716
Chi1n,8.933214961902552
Chi1v,9.689143907921006
Chi2n,7.235555609317984
Chi2v,8.108427170261951
Chi3n,5.751644602032224
Chi3v,6.188080382504208
Chi4n,4.481861525615614
Chi4v,5.007904005841559
MolMR,107.59500000000001
MolWt,397.3050000000002
fr_SH,0
Kappa1,18.100533848066316
Kappa2,6.709170839821009
Kappa3,2.937531225205798
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,983.7131134916208
MolLogP,5.256080000000005
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7905765330558248
SMR_VSA1,4.794537184071822
SMR_VSA2,5.261891554738487
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,31.725127320852
SMR_VSA6,6.544756405912575
SMR_VSA7,74.77329511187418
SMR_VSA8,0.0
SMR_VSA9,6.069221312792274
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,168.35712103576358
NHOHCount,0
PEOE_VSA1,4.899909730850478
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,5.261891554738487
PEOE_VSA5,0.0
PEOE_VSA6,35.33461391738825
PEOE_VSA7,73.21804492423998
PEOE_VSA8,22.163127563464496
PEOE_VSA9,17.171598056872615
RingCount,4
SMR_VSA10,34.682164039885805
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,396.079618556
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,22.890771118497902
SlogP_VSA3,11.21535880699783
SlogP_VSA4,11.33111286753076
SlogP_VSA5,36.45573492063363
SlogP_VSA6,48.03767400930054
SlogP_VSA7,10.045266627482652
SlogP_VSA8,5.573104530069267
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,1
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,11.446104981734852
EState_VSA3,21.181822649248915
EState_VSA4,42.50722878815387
EState_VSA5,0.0
EState_VSA6,6.06636706846161
EState_VSA7,41.29811214162014
EState_VSA8,12.992958512482897
EState_VSA9,28.463771335203518
SlogP_VSA10,0.0
