DLiP-ID,T002UD
DLiP-Mol-ID,19288
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H14ClN3O3/c18-13-5-6-19-9-12(13)16(22)21-15(17(23)24)7-10-8-20-14-4-2-1-3-11(10)14/h1-6,8-9,15,20H,7H2,(H,21,22)(H,23,24)/t15-/m0/s1"
Standard Inchi Key(RDKit),JJPMDXCVSJGLNO-HNNXBMFYSA-N
Canonical SMILES(RDKit),O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c1cnccc1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),343.77
MW Monoisotopic(RDKit),343.072368988
MolLogP(RDKit),2.642
XLogP(SDF),
XLogP(CDK),0.0920000000000001
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),95.08
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.663324832852888
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,372176.1646553898
qed,0.6633248328528879
Chi0,17.10408352775558
Chi1,11.558550648063802
TPSA,95.08
Chi0n,12.492147448830051
Chi0v,13.248076394848507
Chi1n,7.2417711953617525
Chi1v,7.61973566837098
