DLiP-ID,T006PM
DLiP-Mol-ID,24375
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H19N5O3S2/c1-14-7-5-12-19(22-14)23-21(27)17(13-15-8-3-2-4-9-15)26-31(28,29)18-11-6-10-16-20(18)25-30-24-16/h2-12,17,26H,13H2,1H3,(H,22,23,27)"
Standard Inchi Key(RDKit),VNONTQKRAKZLSS-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cccc(NC(=O)C(Cc2ccccc2)NS(=O)(=O)c2cccc3nsnc23)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),453.549
MW Monoisotopic(RDKit),453.092931468
MolLogP(RDKit),2.92302
XLogP(SDF),
XLogP(CDK),3.558
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),113.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.444744386749617
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,13264945.529000085
qed,0.44474438674961686
Chi0,21.846724214874857
Chi1,14.920653420525285
TPSA,113.94000000000001
Chi0n,16.51819225028125
Chi0v,18.151185412136698
Chi1n,9.44315075618146
Chi1v,11.656610747116073
Chi2n,6.905161106749522
Chi2v,9.116011036014699
Chi3n,4.5746534017660645
Chi3v,6.620504157066911
Chi4n,3.1126824226085756
Chi4v,5.074491525596001
MolMR,119.27420000000004
MolWt,453.5490000000002
fr_SH,0
Kappa1,21.038491467674714
Kappa2,8.882051214067822
Kappa3,4.9296987218042565
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1323.1249199986657
MolLogP,2.923020000000001
NOCount,8
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.6466522923243154
SMR_VSA1,13.212334168400758
SMR_VSA2,0.0
SMR_VSA3,18.453153348232195
SMR_VSA4,0.0
SMR_VSA5,24.28188312728237
SMR_VSA6,5.316788604006331
SMR_VSA7,77.98741723962318
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,183.29053407176343
NHOHCount,2
PEOE_VSA1,5.316788604006331
PEOE_VSA2,4.794537184071822
PEOE_VSA3,13.401775505276145
PEOE_VSA4,13.469174827284988
PEOE_VSA5,0.0
PEOE_VSA6,42.46456947923127
PEOE_VSA7,43.173478588160066
PEOE_VSA8,5.693927994848461
PEOE_VSA9,11.728187345198613
RingCount,4
SMR_VSA10,44.50992244102525
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,453.092931468
NumHDonors,2
PEOE_VSA10,27.788588517733288
PEOE_VSA11,0.0
PEOE_VSA12,15.930470882759089
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.038883468458419
SlogP_VSA2,34.09787602660851
SlogP_VSA3,21.238649960405414
SlogP_VSA4,6.923737199690624
SlogP_VSA5,11.257379486545457
SlogP_VSA6,71.62552122859549
SlogP_VSA7,0.0
SlogP_VSA8,11.033401435232523
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
