DLiP-ID,J0000J
DLiP-Mol-ID,26704
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H26N4O/c28-23(25-21-9-6-10-22(17-21)27-13-4-5-14-27)24-20-11-15-26(16-12-20)18-19-7-2-1-3-8-19/h1-10,13-14,17,20H,11-12,15-16,18H2,(H2,24,25,28)"
Standard Inchi Key(RDKit),XGNKUIUINUHCLE-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1cccc(-n2cccc2)c1)NC1CCN(Cc2ccccc2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),374.488
MW Monoisotopic(RDKit),374.210661452
MolLogP(RDKit),4.2634
XLogP(SDF),
XLogP(CDK),3.689
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),49.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.700888833527341
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,4773538.456388535
qed,0.7008888335273409
Chi0,19.18358750805833
Chi1,13.759152830872495
TPSA,49.300000000000004
Chi0n,15.921113156051284
Chi0v,15.921113156051284
Chi1n,9.833587934211437
Chi1v,9.833587934211437
Chi2n,7.275122850932237
Chi2v,7.275122850932237
Chi3n,5.178414767822797
Chi3v,5.178414767822797
Chi4n,3.6805273222852444
Chi4v,3.6805273222852444
MolMR,112.66440000000003
MolWt,374.48800000000017
fr_SH,0
Kappa1,18.319683276743227
Kappa2,8.758855004764952
Kappa3,4.809218576876111
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,883.9853845618778
MolLogP,4.263400000000003
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,1
BalabanJ,1.2539005727628894
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,14.783797982648164
SMR_VSA4,0.0
SMR_VSA5,25.428240480912557
