DLiP-ID,C000WO
DLiP-Mol-ID,31477
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H10ClNO/c16-11-6-7-14-13(8-11)12(9-15(18)17-14)10-4-2-1-3-5-10/h1-9H,(H,17,18)"
Standard Inchi Key(RDKit),IJUHQVBVAUVMEG-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1cc(-c2ccccc2)c2cc(Cl)ccc2[nH]1
SMILES(SDF),
MW(SDF),
MW(RDKit),255.704
MW Monoisotopic(RDKit),255.04509162
MolLogP(RDKit),3.8485
XLogP(SDF),
XLogP(CDK),4.733
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),32.86
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.703923309865175
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,18961.715384855655
qed,0.7039233098651749
Chi0,12.535169427003234
Chi1,8.737183443017882
TPSA,32.86
Chi0n,9.482365186179724
Chi0v,10.23829413219818
Chi1n,5.619174125161716
Chi1v,5.9971385981709435
Chi2n,4.103194602510814
Chi2v,4.539630382982799
Chi3n,2.889880120114119
Chi3v,3.1249772229018578
Chi4n,2.0825168777193146
Chi4v,2.254619901672182
MolMR,75.01470000000002
MolWt,255.704
fr_SH,0
Kappa1,11.05464077583025
Kappa2,4.314556907019282
Kappa3,1.9119895976715675
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,762.2956546799152
MolLogP,3.8485000000000014
NOCount,2
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.4073178921950347
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,69.97374100901965
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,108.85459816516814
NHOHCount,1
PEOE_VSA1,4.9839785209472085
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,41.932775232540564
PEOE_VSA7,29.32600418877882
PEOE_VSA8,21.991925314283996
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,22.503864822313574
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,255.04509162
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.559266895052007
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.559266895052007
