DLiP-ID,I000FU
DLiP-Mol-ID,28340
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H27FN4O3/c1-33-22-5-3-4-16-15(14-30-25(16)22)10-12-28-19-7-8-20(26(34-2)23(19)27)31-18-11-13-29-24-17(18)6-9-21(24)32/h3-5,7-8,11,13-14,21,28,30,32H,6,9-10,12H2,1-2H3,(H,29,31)/t21-/m0/s1"
Standard Inchi Key(RDKit),HOVKIGHRDLSJBL-NRFANRHFSA-N
Canonical SMILES(RDKit),COc1c(Nc2ccnc3c2CC[C@@H]3O)ccc(NCCc2c[nH]c3c(OC)cccc23)c1F
SMILES(SDF),
MW(SDF),
MW(RDKit),462.525
MW Monoisotopic(RDKit),462.206718944
MolLogP(RDKit),5.097
XLogP(SDF),
XLogP(CDK),3.18
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),91.43
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.291372235804498
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,93299158.7963663
qed,0.291372235804498
Chi0,23.656125291633366
Chi1,16.600886748174158
TPSA,91.42999999999999
Chi0n,19.113467792389695
Chi0v,19.113467792389695
Chi1n,11.26537455747603
Chi1v,11.26537455747603
Chi2n,8.283216997019624
Chi2v,8.283216997019624
Chi3n,6.335735008357662
Chi3v,6.335735008357662
Chi4n,4.622465377399652
Chi4v,4.622465377399652
