DLiP-ID,T004JD
DLiP-Mol-ID,19039
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H31N3O4/c1-22(2)13-17(12-19(14-22)24-10-4-3-5-11-24)23-20(15-26)21(27)16-6-8-18(9-7-16)25(28)29/h6-9,12,20-21,26-27H,3-5,10-11,13-15H2,1-2H3/p+1"
Standard Inchi Key(RDKit),OHTDXSAFYXPXKY-UHFFFAOYSA-O
Canonical SMILES(RDKit),CC1(C)CC(NC(CO)C(O)c2ccc([N+](=O)[O-])cc2)=CC(=[N+]2CCCCC2)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),402.515
MW Monoisotopic(RDKit),402.23873292409
MolLogP(RDKit),2.92
XLogP(SDF),
XLogP(CDK),2.697
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),98.64
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.386035414645334
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Rac1/GEFs
Common Target Pref Name,RAC1/TIAM1
RDKit Descriptors
Ipc,2698192.18527037
qed,0.38603541464533353
Chi0,21.018297090128666
Chi1,13.786825479305525
TPSA,98.64
Chi0n,17.303657096747322
Chi0v,17.303657096747322
Chi1n,10.401107084563204
