DLiP-ID,C002FC
DLiP-Mol-ID,30805
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H17N3OS/c1-3-12-6-9-15-14(10-12)18(17(22)19-15)21-20-16(23-18)13-7-4-11(2)5-8-13/h4-10,21H,3H2,1-2H3,(H,19,22)"
Standard Inchi Key(RDKit),KZYQYZPANJVPPY-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCc1ccc2c(c1)C1(NN=C(c3ccc(C)cc3)S1)C(=O)N2
SMILES(SDF),
MW(SDF),
MW(RDKit),323.421
MW Monoisotopic(RDKit),323.109233164
MolLogP(RDKit),3.36052
XLogP(SDF),
XLogP(CDK),4.817
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),53.49
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.890856493452047
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,334115.10074443644
qed,0.8908564934520466
Chi0,16.026733258565955
Chi1,11.12015881263886
TPSA,53.49
Chi0n,13.012268841941614
Chi0v,13.82876542286934
Chi1n,7.679647279734078
Chi1v,8.496143860661805
Chi2n,5.865646719182868
Chi2v,7.06884163117758
Chi3n,4.302661107211532
Chi3v,5.625781545586516
Chi4n,2.8963338835717214
Chi4v,4.045433218587966
MolMR,94.57040000000003
MolWt,323.421
fr_SH,0
Kappa1,14.330389548880873
Kappa2,5.1305128927740995
Kappa3,2.1483788849327596
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,828.660384346411
MolLogP,3.360520000000001
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7180078629370161
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,5.425791397110385
SMR_VSA4,5.101407525739723
SMR_VSA5,25.139253258511385
SMR_VSA6,5.316788604006331
SMR_VSA7,64.71837544601925
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
