DLiP-ID,T002TP
DLiP-Mol-ID,19264
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H21N3O3/c21-16(22)15(19-17(23)20-8-4-1-5-9-20)10-12-11-18-14-7-3-2-6-13(12)14/h2-3,6-7,11,15,18H,1,4-5,8-10H2,(H,19,23)(H,21,22)/t15-/m0/s1"
Standard Inchi Key(RDKit),JHYLLUGYJSRBJV-HNNXBMFYSA-N
Canonical SMILES(RDKit),O=C(O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)N1CCCCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),315.373
MW Monoisotopic(RDKit),315.158291532
MolLogP(RDKit),2.3591
XLogP(SDF),
XLogP(CDK),1.817
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),85.43
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.809389662760618
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,260776.8560289565
qed,0.8093896627606175
Chi0,16.233840039752504
Chi1,11.147867045540842
TPSA,85.42999999999999
Chi0n,12.917666074184686
Chi0v,12.917666074184686
Chi1n,7.981769906623512
Chi1v,7.981769906623512
Chi2n,5.951643458138052
Chi2v,5.951643458138052
Chi3n,4.338034592244967
Chi3v,4.338034592244967
Chi4n,3.057822338035649
Chi4v,3.057822338035649
MolMR,87.38220000000004
MolWt,315.3730000000002
fr_SH,0
Kappa1,15.397777777777778
Kappa2,6.726001511715798
Kappa3,3.4674843954129773
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,703.9264336943454
MolLogP,2.3591000000000006
NOCount,6
fr_Ar_N,1
fr_COO2,1
fr_urea,1
BalabanJ,1.712746845425394
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,15.200676855804018
SMR_VSA4,0.0
SMR_VSA5,31.725127320852
SMR_VSA6,13.08951281182515
SMR_VSA7,36.02576333715651
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,134.0278497543817
NHOHCount,3
PEOE_VSA1,20.307204250644723
PEOE_VSA2,0.0
PEOE_VSA3,9.589074368143644
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,30.892283428936636
PEOE_VSA8,36.610102938445294
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,22.90334473237098
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,315.158291532
NumHDonors,3
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,12.000419800289922
SlogP_VSA1,5.316788604006331
SlogP_VSA2,46.12218908790142
SlogP_VSA3,11.21535880699783
SlogP_VSA4,0.0
SlogP_VSA5,24.825916360475023
