DLiP-ID,C0006V
DLiP-Mol-ID,30377
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H30N2O2/c29-24(21-30-25-14-8-3-9-15-25)20-27-16-18-28(19-17-27)26(22-10-4-1-5-11-22)23-12-6-2-7-13-23/h1-15,24,26,29H,16-21H2"
Standard Inchi Key(RDKit),MIEQTGGXHMZWBB-UHFFFAOYSA-N
Canonical SMILES(RDKit),OC(COc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),402.538
MW Monoisotopic(RDKit),402.2307282
MolLogP(RDKit),3.8335
XLogP(SDF),
XLogP(CDK),4.046
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),35.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.621196212377349
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,11077168.97179366
qed,0.6211962123773491
Chi0,20.597801070431423
Chi1,14.79282633568371
TPSA,35.940000000000005
Chi0n,17.307484340306665
Chi0v,17.307484340306665
Chi1n,10.716233547091486
Chi1v,10.716233547091486
Chi2n,7.838360871409624
Chi2v,7.838360871409624
Chi3n,5.6571911599559845
Chi3v,5.6571911599559845
Chi4n,4.148749177075837
Chi4v,4.148749177075837
MolMR,120.68380000000003
MolWt,402.5380000000001
fr_SH,0
Kappa1,20.60624687294816
Kappa2,10.393389520754301
Kappa3,5.47999701256693
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,825.8099246041505
