DLiP-ID,T005JR
DLiP-Mol-ID,22576
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H25N5O4/c23-15(24)3-7-19-16(25)13-11-14-17(26)21(9-10-22(14)20-13)8-4-12-1-5-18-6-2-12/h11-12,18H,1-10H2,(H,19,25)(H,23,24)"
Standard Inchi Key(RDKit),RIMGWTGKJRYUQN-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CCNC(=O)c1cc2n(n1)CCN(CCC1CCNCC1)C2=O
SMILES(SDF),
MW(SDF),
MW(RDKit),363.418
MW Monoisotopic(RDKit),363.19065428
MolLogP(RDKit),-0.0668999999999991
XLogP(SDF),
XLogP(CDK),-0.143
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),116.56
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.624539086868276
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,986414.6018844545
qed,0.6245390868682759
Chi0,18.518297090128677
Chi1,12.541713895658194
TPSA,116.56
Chi0n,14.739367603636152
Chi0v,14.739367603636152
Chi1n,9.121791627700535
Chi1v,9.121791627700535
Chi2n,6.811851341381124
Chi2v,6.811851341381124
Chi3n,4.991066941952617
Chi3v,4.991066941952617
Chi4n,3.444990462501319
Chi4v,3.444990462501319
MolMR,92.92720000000006
MolWt,363.4180000000002
fr_SH,0
Kappa1,18.373445084210505
Kappa2,8.306439969654082
Kappa3,4.399400901952908
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
