DLiP-ID,C000BT
DLiP-Mol-ID,30583
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H13N3O2S/c1-20-11-7-8-12-13(9-11)21-15(17-12)18-14(19)16-10-5-3-2-4-6-10/h2-9H,1H3,(H2,16,17,18,19)"
Standard Inchi Key(RDKit),JHBWYQRKOUBPCA-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc2nc(NC(=O)Nc3ccccc3)sc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),299.355
MW Monoisotopic(RDKit),299.072847656
MolLogP(RDKit),3.9489
XLogP(SDF),
XLogP(CDK),2.306
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),63.25
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.769424167933142
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,100330.70425975081
qed,0.769424167933142
Chi0,14.656489770562878
Chi1,10.241514740667453
TPSA,63.25
Chi0n,11.290760620408555
Chi0v,12.107257201336282
Chi1n,6.320675941127091
Chi1v,7.137172522054818
Chi2n,4.297822738997771
Chi2v,5.328471620924136
Chi3n,2.847725663380293
Chi3v,3.781326550574047
Chi4n,1.8663323997063035
Chi4v,2.755691144146745
MolMR,85.25540000000002
MolWt,299.3550000000001
fr_SH,0
Kappa1,13.386159169550176
Kappa2,5.802301130728031
Kappa3,3.11449704142012
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,770.944594999875
MolLogP,3.948900000000002
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,1
BalabanJ,1.7364341017538854
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,17.743374749290194
SMR_VSA7,48.53093654769288
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,125.1348490342142
NHOHCount,2
PEOE_VSA1,10.05365155780638
PEOE_VSA2,5.316788604006331
PEOE_VSA3,9.77851570501903
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,29.53588708331957
PEOE_VSA7,30.33183534230805
PEOE_VSA8,5.687386274683562
PEOE_VSA9,17.326418175362896
RingCount,3
SMR_VSA10,38.40346577888106
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,299.072847656
NumHDonors,2
PEOE_VSA10,5.749511833283905
PEOE_VSA11,5.131558479839333
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,6.031114512338072
SlogP_VSA1,15.37044016181271
SlogP_VSA2,18.124890574562812
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,48.53093654769288
SlogP_VSA7,0.0
SlogP_VSA8,10.216620634085363
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,6.031114512338072
EState_VSA3,5.131558479839333
EState_VSA4,21.65351874205283
EState_VSA5,11.336785877934737
EState_VSA6,7.109797541277533
EState_VSA7,48.53093654769288
EState_VSA8,15.617555728959871
EState_VSA9,4.736862953800049
