DLiP-ID,C0014V
DLiP-Mol-ID,31829
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H25BrN2O3S/c1-3-15-7-5-6-9-21(15)25(23,24)16-12-14(19)11-13-8-10-20(18(13)16)17(22)4-2/h11-12,15H,3-10H2,1-2H3"
Standard Inchi Key(RDKit),QJBVDDBQURRJBQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCC(=O)N1CCc2cc(Br)cc(S(=O)(=O)N3CCCCC3CC)c21
SMILES(SDF),
MW(SDF),
MW(RDKit),429.38
MW Monoisotopic(RDKit),428.07692576
MolLogP(RDKit),3.7014
XLogP(SDF),
XLogP(CDK),3.085
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),57.69
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.733604516104788
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,506145.9405869892
qed,0.7336045161047882
Chi0,18.189869965382485
Chi1,11.895413941247273
TPSA,57.690000000000005
Chi0n,14.794289882925856
Chi0v,17.19678300296829
Chi1n,9.043523526284282
Chi1v,11.276585124642274
Chi2n,6.734195299778857
Chi2v,9.508847314279361
Chi3n,5.227831825441631
Chi3v,7.650859377111961
Chi4n,3.9308812609510713
Chi4v,6.618266632069482
MolMR,102.31180000000005
MolWt,429.3800000000003
fr_SH,0
Kappa1,18.85875061161504
Kappa2,7.367579528751877
Kappa3,3.38056393842402
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,778.7710111534333
MolLogP,3.701400000000003
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.118355625406276
SMR_VSA1,13.212334168400758
SMR_VSA2,0.0
SMR_VSA3,4.305215991296234
SMR_VSA4,0.0
SMR_VSA5,63.30972844160304
SMR_VSA6,17.98942254267563
SMR_VSA7,22.16890514445263
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,158.1085591237048
