DLiP-ID,T002CQ
DLiP-Mol-ID,18538
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H27N3O4/c24-18(3-1-2-14-6-9-21-10-7-14)22-16-5-4-15-13-23(11-8-19(25)26)20(27)17(15)12-16/h4-5,12,14,21H,1-3,6-11,13H2,(H,22,24)(H,25,26)"
Standard Inchi Key(RDKit),HWRXVANHVCXVHA-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CCN1Cc2ccc(NC(=O)CCCC3CCNCC3)cc2C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),373.453
MW Monoisotopic(RDKit),373.200156344
MolLogP(RDKit),2.2255
XLogP(SDF),
XLogP(CDK),1.16
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),98.74
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.648966626743204
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,1459130.4132881295
qed,0.6489666267432043
Chi0,19.225403871315223
Chi1,13.024877143252588
TPSA,98.74000000000001
Chi0n,15.499640951015488
Chi0v,15.499640951015488
Chi1n,9.672587259299972
Chi1v,9.672587259299972
Chi2n,7.37615312984222
Chi2v,7.37615312984222
Chi3n,5.342973535779813
Chi3v,5.342973535779813
Chi4n,3.795321099925444
Chi4v,3.795321099925444
MolMR,101.50970000000007
MolWt,373.4530000000002
fr_SH,0
Kappa1,19.35431191348689
Kappa2,8.991571120295427
Kappa3,5.290467382370527
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,713.178416694021
MolLogP,2.2254999999999994
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.4810216089310384
SMR_VSA1,19.49013894705617
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,5.917906046161393
SMR_VSA5,45.069686143468644
SMR_VSA6,24.951057821744058
SMR_VSA7,29.32600418877882
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,158.66728850373778
NHOHCount,3
PEOE_VSA1,20.640014333703846
PEOE_VSA2,14.383611552215466
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,62.386890978310795
PEOE_VSA8,30.761172201131718
PEOE_VSA9,6.4208216229260096
RingCount,3
SMR_VSA10,23.471051021338422
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
