DLiP-ID,C000IS
DLiP-Mol-ID,30891
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H12ClNO2/c18-13-6-9-15(20)12(10-13)5-8-14-7-4-11-2-1-3-16(21)17(11)19-14/h1-10,20-21H/b8-5+"
Standard Inchi Key(RDKit),SOUQJSULOJWRAI-VMPITWQZSA-N
Canonical SMILES(RDKit),Oc1ccc(Cl)cc1/C=C/c1ccc2cccc(O)c2n1
SMILES(SDF),
MW(SDF),
MW(RDKit),297.741
MW Monoisotopic(RDKit),297.055656304
MolLogP(RDKit),4.4698
XLogP(SDF),
XLogP(CDK),4.236
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),53.35
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.733528961010952
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,74523.92491772419
qed,0.7335289610109521
Chi0,14.819626477379408
Chi1,10.131030293135236
TPSA,53.35
Chi0n,10.993107951405362
Chi0v,11.749036897423817
Chi1n,6.386827440119326
Chi1v,6.764791913128554
Chi2n,4.621445724916983
Chi2v,5.057881505388966
Chi3n,3.1437195972781726
Chi3v,3.378816700065911
Chi4n,2.073371919602382
Chi4v,2.2539145498311224
MolMR,85.45260000000003
MolWt,297.74100000000004
fr_SH,0
Kappa1,13.46247528076172
Kappa2,5.462618669327594
Kappa3,2.828871460617821
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
