DLiP-ID,T006UT
DLiP-Mol-ID,24612
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H26N2O5/c1-30-19-13-11-17(12-14-19)16-20(25-22(28)18-8-4-2-5-9-18)23(29)24-15-7-3-6-10-21(26)27/h2,4-5,8-9,11-14,16H,3,6-7,10,15H2,1H3,(H,24,29)(H,25,28)(H,26,27)/b20-16-"
Standard Inchi Key(RDKit),VYONVCDGRWSIPX-SILNSSARSA-N
Canonical SMILES(RDKit),COc1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)NCCCCCC(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),410.47
MW Monoisotopic(RDKit),410.184171932
MolLogP(RDKit),3.2273
XLogP(SDF),
XLogP(CDK),3.524
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),104.73
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.389680917937838
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,4385261.399708511
qed,0.38968091793783843
Chi0,21.769373945685235
Chi1,14.490402300641938
TPSA,104.73
Chi0n,16.88924335518441
Chi0v,16.88924335518441
