DLiP-ID,C003EB
DLiP-Mol-ID,33905
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C8H8N2O2S2/c1-4(11)9-6-7-5(3-13-14-7)10(2)8(6)12/h3H,1-2H3,(H,9,11)"
Standard Inchi Key(RDKit),MHMRAFONCSQAIA-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(=O)Nc1c2sscc-2n(C)c1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),228.298
MW Monoisotopic(RDKit),228.002719496
MolLogP(RDKit),1.5715
XLogP(SDF),
XLogP(CDK),0.763
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),51.1
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.753185815050886
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,2092.931514844965
qed,0.7531858150508859
Chi0,10.292528739883947
Chi1,6.60906090528062
TPSA,51.1
Chi0n,7.657557026545037
Chi0v,9.29055018840049
Chi1n,3.9478436883527066
Chi1v,6.1608298329409354
Chi2n,2.9321298413052657
Chi2v,5.012547417750811
Chi3n,1.9317767493369988
Chi3v,4.004766528807087
Chi4n,1.2755520769903157
Chi4v,3.5771010772846625
MolMR,58.36270000000001
MolWt,228.298
fr_SH,0
Kappa1,9.416378045555534
Kappa2,3.2145170331544173
Kappa3,1.267625600972794
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,508.09145842539846
MolLogP,1.5714999999999995
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.639968522869451
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,4.567099647791355
SMR_VSA4,7.04767198267719
SMR_VSA5,6.923737199690624
SMR_VSA6,5.316788604006331
SMR_VSA7,15.733866849589745
