DLiP-ID,C001FF
DLiP-Mol-ID,32294
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H19NO/c1-5-16-11-6-7-13-12(8-11)10(2)9-14(3,4)15-13/h6-9,15H,5H2,1-4H3"
Standard Inchi Key(RDKit),DECIPOUIJURFOJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOc1ccc2c(c1)C(C)=CC(C)(C)N2
SMILES(SDF),
MW(SDF),
MW(RDKit),217.312
MW Monoisotopic(RDKit),217.146664228
MolLogP(RDKit),3.6927
XLogP(SDF),
XLogP(CDK),3.324
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),21.26
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.815319298701658
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,3672.5770816317963
qed,0.8153192987016582
Chi0,11.759148545064338
Chi1,7.51596853147643
TPSA,21.259999999999998
Chi0n,10.424756148408914
Chi0v,10.424756148408914
Chi1n,5.765290201915503
Chi1v,5.765290201915503
Chi2n,4.814440904451427
Chi2v,4.814440904451427
Chi3n,2.7610655476998227
Chi3v,2.7610655476998227
Chi4n,2.217260375273607
Chi4v,2.217260375273607
MolMR,68.96370000000003
MolWt,217.31199999999998
fr_SH,0
Kappa1,11.05761764725319
Kappa2,3.8537931114000026
Kappa3,2.057732426303855
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,432.3615238601926
MolLogP,3.692700000000002
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.4152699754678197
SMR_VSA1,4.736862953800049
SMR_VSA2,0.0
SMR_VSA3,0.0
